centrality xT U_xT U_xT_uncertainties
0 0.1935938 0.685196117 0.0792668733
0 0.22879268 0.731158878 0.0764264973
0 0.26399155 0.76602372 0.0792741454
0 0.29919043 0.788085845 0.0809618491
0 0.3343893 0.797144688 0.0817843943
0 0.39598733 0.787851853 0.0809668322
0 0.48398451 0.752318461 0.0777376133
0 0.5719817 0.770837275 0.0716184155
0 0.65997888 0.712472926 0.065789904
0 0.74797606 0.647556795 0.0598743545
0 0.83597325 0.584479174 0.0541277432
0 0.92397043 0.520365302 0.0477968711
0 1.01196762 0.462234945 0.0426292254
0 1.0999648 0.410255242 0.0382855136
0 1.18796199 0.367334381 0.034524225
0 1.27595917 0.331286205 0.0319935811
0 1.36395635 0.297691606 0.028966084
0 1.45195354 0.266894885 0.0259205676
0 1.53995072 0.239888839 0.0233012792
0 1.62794791 0.216105199 0.0210323859
0 1.71594509 0.193765627 0.0188350948
0 1.84794087 0.16332658 0.0157964724
0 2.02393523 0.125871108 0.012263977
0 2.1999296 0.104882005 0.0103749652
0 2.37592397 0.0834449735 0.00828167284
0 2.55191834 0.0665641052 0.00661165033
0 2.72791271 0.0533201447 0.00528652021
0 2.90390707 0.0423960501 0.00436705218
0 3.07990144 0.0341160678 0.00349446654
0 3.25589581 0.027066216 0.0027795392
0 3.43189018 0.021790694 0.00227330814
0 3.69588173 0.015288384 0.00152116314
0 4.04787047 0.00993029615 0.000971391054
0 4.3998592 0.00651066678 0.000621161348
0 4.75184794 0.00432116802 0.000410843721
0 5.10383668 0.00290732008 0.000276522847
0 5.45582541 0.0019720197 0.000186138178
0 5.80781415 0.00135324395 0.000126793192
0 6.15980289 0.000937205754 8.73860693e-05
0 6.51179162 0.000665239922 6.20508116e-05
0 6.86378036 0.000478413837 4.44379166e-05
0 7.47976065 0.000285393643 2.66288265e-05
0 8.35973249 0.000145001645 1.34352299e-05
0 9.23970433 8.15830639e-05 7.50877393e-06
0 10.11967617 4.93055065e-05 4.54578875e-06
0 10.99964801 3.26104949e-05 3.01551836e-06
0 11.87961985 2.24722799e-05 2.08039281e-06
0 13.19957761 1.39148496e-05 1.3044587e-06
