#: table_doi: 10.17182/hepdata.61925.v1/t16
#: name: Table 16
#: description: pT-differential invariant yield of kaon+ and kaon- for centrality 40-50%.

#: data_file: Table_16.yaml
#: keyword reactions: PB PB --> K+ X | PB PB --> K- X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence | Strange Production
#: keyword cmenergies: 2760.0
#: CENTRALITY [pct],,,40.0-50.0
#: RE,,,PB PB --> K+ X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.225,0.2,0.25,9.107,0.173,-0.173,0.988,-0.988,2.4%,-2.4%
0.275,0.25,0.3,8.184,0.115,-0.115,0.575,-0.575,2.4%,-2.4%
0.32499999999999996,0.3,0.35,7.904,0.098,-0.098,0.504,-0.504,2.4%,-2.4%
0.375,0.35,0.4,7.441,0.086,-0.086,0.478,-0.478,2.4%,-2.4%
0.42500000000000004,0.4,0.45,6.642,0.138,-0.138,0.542,-0.542,2.4%,-2.4%
0.475,0.45,0.5,5.98,0.067,-0.067,0.622,-0.622,2.4%,-2.4%
0.525,0.5,0.55,5.181,0.105,-0.105,0.299,-0.299,2.4%,-2.4%
0.575,0.55,0.6,4.611,0.083,-0.083,0.296,-0.296,2.4%,-2.4%
0.625,0.6,0.65,4.0,0.072,-0.072,0.259,-0.259,2.4%,-2.4%
0.675,0.65,0.7,3.602,0.067,-0.067,0.245,-0.245,2.4%,-2.4%
0.725,0.7,0.75,3.199,0.059,-0.059,0.198,-0.198,2.4%,-2.4%
0.775,0.75,0.8,2.823,0.055,-0.055,0.163,-0.163,2.4%,-2.4%
0.825,0.8,0.85,2.406,0.047,-0.047,0.151,-0.151,2.4%,-2.4%
0.875,0.85,0.9,2.203,0.047,-0.047,0.135,-0.135,2.4%,-2.4%
0.925,0.9,0.95,1.933,0.043,-0.043,0.111,-0.111,2.4%,-2.4%
0.975,0.95,1.0,1.709,0.039,-0.039,0.112,-0.112,2.4%,-2.4%
1.05,1.0,1.1,1.369,0.024,-0.024,0.079,-0.079,2.4%,-2.4%
1.15,1.1,1.2,1.058,0.021,-0.021,0.065,-0.065,2.4%,-2.4%
1.25,1.2,1.3,0.7915,0.011,-0.011,0.0655,-0.0655,2.4%,-2.4%
1.35,1.3,1.4,0.61,0.0093,-0.0093,0.0513,-0.0513,2.4%,-2.4%
1.45,1.4,1.5,0.4793,0.008,-0.008,0.0412,-0.0412,2.4%,-2.4%
1.55,1.5,1.6,0.3616,0.0065,-0.0065,0.0319,-0.0319,2.4%,-2.4%
1.65,1.6,1.7,0.2813,0.0054,-0.0054,0.0256,-0.0256,2.4%,-2.4%
1.75,1.7,1.8,0.2139,0.0044,-0.0044,0.0202,-0.0202,2.4%,-2.4%
1.85,1.8,1.9,0.1697,0.0038,-0.0038,0.0167,-0.0167,2.4%,-2.4%
1.95,1.9,2.0,0.1299,0.0032,-0.0032,0.0133,-0.0133,2.4%,-2.4%
2.05,2.0,2.1,0.0993,0.00257,-0.00257,0.01067,-0.01067,2.4%,-2.4%
2.1500000000000004,2.1,2.2,0.07909,0.00221,-0.00221,0.00893,-0.00893,2.4%,-2.4%
2.25,2.2,2.3,0.06205,0.00192,-0.00192,0.00737,-0.00737,2.4%,-2.4%
2.3499999999999996,2.3,2.4,0.05011,0.00165,-0.00165,0.00628,-0.00628,2.4%,-2.4%
2.45,2.4,2.5,0.03965,0.00143,-0.00143,0.00525,-0.00525,2.4%,-2.4%
2.55,2.5,2.6,0.02996,0.00112,-0.00112,0.0042,-0.0042,2.4%,-2.4%
2.6500000000000004,2.6,2.7,0.02521,0.00101,-0.00101,0.00374,-0.00374,2.4%,-2.4%
2.75,2.7,2.8,0.02116,0.00097,-0.00097,0.00332,-0.00332,2.4%,-2.4%
2.8499999999999996,2.8,2.9,0.01579,0.00074,-0.00074,0.00262,-0.00262,2.4%,-2.4%
2.95,2.9,3.0,0.01332,0.00066,-0.00066,0.00235,-0.00235,2.4%,-2.4%

#: CENTRALITY [pct],,,40.0-50.0
#: RE,,,PB PB --> K- X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.225,0.2,0.25,9.38,0.19,-0.19,1.001,-1.001,2.4%,-2.4%
0.275,0.25,0.3,8.474,0.128,-0.128,0.628,-0.628,2.4%,-2.4%
0.32499999999999996,0.3,0.35,8.094,0.106,-0.106,0.523,-0.523,2.4%,-2.4%
0.375,0.35,0.4,7.341,0.088,-0.088,0.466,-0.466,2.4%,-2.4%
0.42500000000000004,0.4,0.45,6.606,0.151,-0.151,0.419,-0.419,2.4%,-2.4%
0.475,0.45,0.5,5.949,0.078,-0.078,0.589,-0.589,2.4%,-2.4%
0.525,0.5,0.55,5.118,0.115,-0.115,0.295,-0.295,2.4%,-2.4%
0.575,0.55,0.6,4.513,0.091,-0.091,0.307,-0.307,2.4%,-2.4%
0.625,0.6,0.65,3.942,0.08,-0.08,0.25,-0.25,2.4%,-2.4%
0.675,0.65,0.7,3.532,0.074,-0.074,0.217,-0.217,2.4%,-2.4%
0.725,0.7,0.75,3.124,0.067,-0.067,0.2,-0.2,2.4%,-2.4%
0.775,0.75,0.8,2.755,0.061,-0.061,0.18,-0.18,2.4%,-2.4%
0.825,0.8,0.85,2.438,0.055,-0.055,0.156,-0.156,2.4%,-2.4%
0.875,0.85,0.9,2.163,0.053,-0.053,0.131,-0.131,2.4%,-2.4%
0.925,0.9,0.95,1.893,0.048,-0.048,0.117,-0.117,2.4%,-2.4%
0.975,0.95,1.0,1.663,0.044,-0.044,0.115,-0.115,2.4%,-2.4%
1.05,1.0,1.1,1.338,0.027,-0.027,0.079,-0.079,2.4%,-2.4%
1.15,1.1,1.2,0.9895,0.0218,-0.0218,0.0635,-0.0635,2.4%,-2.4%
1.25,1.2,1.3,0.779,0.012,-0.012,0.0703,-0.0703,2.4%,-2.4%
1.35,1.3,1.4,0.5867,0.0097,-0.0097,0.0536,-0.0536,2.4%,-2.4%
1.45,1.4,1.5,0.4585,0.0084,-0.0084,0.0427,-0.0427,2.4%,-2.4%
1.55,1.5,1.6,0.3682,0.0074,-0.0074,0.0352,-0.0352,2.4%,-2.4%
1.65,1.6,1.7,0.2704,0.0058,-0.0058,0.0267,-0.0267,2.4%,-2.4%
1.75,1.7,1.8,0.2141,0.005,-0.005,0.022,-0.022,2.4%,-2.4%
1.85,1.8,1.9,0.1632,0.0041,-0.0041,0.0175,-0.0175,2.4%,-2.4%
1.95,1.9,2.0,0.1265,0.0034,-0.0034,0.0142,-0.0142,2.4%,-2.4%
2.05,2.0,2.1,0.09838,0.00286,-0.00286,0.01158,-0.01158,2.4%,-2.4%
2.1500000000000004,2.1,2.2,0.08069,0.00261,-0.00261,0.01002,-0.01002,2.4%,-2.4%
2.25,2.2,2.3,0.06413,0.00232,-0.00232,0.00842,-0.00842,2.4%,-2.4%
2.3499999999999996,2.3,2.4,0.05133,0.002,-0.002,0.00714,-0.00714,2.4%,-2.4%
2.45,2.4,2.5,0.039,0.00157,-0.00157,0.00576,-0.00576,2.4%,-2.4%
2.55,2.5,2.6,0.03162,0.00136,-0.00136,0.00496,-0.00496,2.4%,-2.4%
2.6500000000000004,2.6,2.7,0.02284,0.00104,-0.00104,0.00381,-0.00381,2.4%,-2.4%
2.75,2.7,2.8,0.01981,0.00103,-0.00103,0.00352,-0.00352,2.4%,-2.4%
2.8499999999999996,2.8,2.9,0.01504,0.00078,-0.00078,0.00284,-0.00284,2.4%,-2.4%
