#: table_doi: 10.17182/hepdata.61925.v1/t21
#: name: Table 21
#: description: pT-differential invariant yield of proton and antiproton for centrality 0-5%.  These data are also available from http://hepdata.cedar.ac.uk/view/ins1126966.

#: data_file: Table_21.yaml
#: keyword reactions: PB PB --> P X | PB PB --> PBAR X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword cmenergies: 2760.0
#: CENTRALITY [pct],,,0.0-5.0
#: RE,,,PB PB --> P X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.675,0.65,0.7,3.825,0.05,-0.05,0.328,-0.328,0.5%,-0.5%
0.725,0.7,0.75,3.757,0.048,-0.048,0.299,-0.299,0.5%,-0.5%
0.775,0.75,0.8,3.608,0.047,-0.047,0.275,-0.275,0.5%,-0.5%
0.825,0.8,0.85,3.537,0.047,-0.047,0.253,-0.253,0.5%,-0.5%
0.875,0.85,0.9,3.401,0.046,-0.046,0.232,-0.232,0.5%,-0.5%
0.925,0.9,0.95,3.275,0.046,-0.046,0.217,-0.217,0.5%,-0.5%
0.975,0.95,1.0,3.145,0.045,-0.045,0.21,-0.21,0.5%,-0.5%
1.05,1.0,1.1,2.904,0.031,-0.031,0.184,-0.184,0.5%,-0.5%
1.15,1.1,1.2,2.676,0.031,-0.031,0.168,-0.168,0.5%,-0.5%
1.25,1.2,1.3,2.392,0.03,-0.03,0.149,-0.149,0.5%,-0.5%
1.35,1.3,1.4,2.15,0.029,-0.029,0.135,-0.135,0.5%,-0.5%
1.45,1.4,1.5,1.862,0.027,-0.027,0.123,-0.123,0.5%,-0.5%
1.55,1.5,1.6,1.571,0.024,-0.024,0.095,-0.095,0.5%,-0.5%
1.65,1.6,1.7,1.353,0.023,-0.023,0.095,-0.095,0.5%,-0.5%
1.75,1.7,1.8,1.161,0.021,-0.021,0.079,-0.079,0.5%,-0.5%
1.85,1.8,1.9,1.006,0.019,-0.019,0.08,-0.08,0.5%,-0.5%
1.95,1.9,2.0,0.8521,0.0172,-0.0172,0.069,-0.069,0.5%,-0.5%
2.05,2.0,2.1,0.6894,0.0146,-0.0146,0.0567,-0.0567,0.5%,-0.5%
2.1500000000000004,2.1,2.2,0.564,0.0129,-0.0129,0.0473,-0.0473,0.5%,-0.5%
2.25,2.2,2.3,0.456,0.0112,-0.0112,0.0391,-0.0391,0.5%,-0.5%
2.3499999999999996,2.3,2.4,0.3615,0.0091,-0.0091,0.0318,-0.0318,0.5%,-0.5%
2.45,2.4,2.5,0.3151,0.0089,-0.0089,0.0285,-0.0285,0.5%,-0.5%
2.55,2.5,2.6,0.2452,0.0072,-0.0072,0.0228,-0.0228,0.5%,-0.5%
2.6500000000000004,2.6,2.7,0.2015,0.0064,-0.0064,0.0194,-0.0194,0.5%,-0.5%
2.75,2.7,2.8,0.1699,0.0061,-0.0061,0.0169,-0.0169,0.5%,-0.5%
2.8499999999999996,2.8,2.9,0.1313,0.0049,-0.0049,0.0135,-0.0135,0.5%,-0.5%
2.95,2.9,3.0,0.1047,0.0041,-0.0041,0.0112,-0.0112,0.5%,-0.5%
3.1,3.0,3.2,0.07663,0.00239,-0.00239,0.00868,-0.00868,0.5%,-0.5%
3.3,3.2,3.4,0.04589,0.00154,-0.00154,0.00564,-0.00564,0.5%,-0.5%
3.5,3.4,3.6,0.03341,0.00136,-0.00136,0.00446,-0.00446,0.5%,-0.5%
3.7,3.6,3.8,0.02056,0.00093,-0.00093,0.00299,-0.00299,0.5%,-0.5%
3.9,3.8,4.0,0.01371,0.00071,-0.00071,0.00218,-0.00218,0.5%,-0.5%
4.1,4.0,4.2,0.0092,0.000544,-0.000544,0.001595,-0.001595,0.5%,-0.5%
4.300000000000001,4.2,4.4,0.005822,0.00039,-0.00039,0.001101,-0.001101,0.5%,-0.5%
4.5,4.4,4.6,0.003402,0.000234,-0.000234,0.000701,-0.000701,0.5%,-0.5%

