#: table_doi: 10.17182/hepdata.61925.v1/t6
#: name: Table 6
#: description: pT-differential invariant yield of pion+ and pion- for centrality 40-50%.

#: data_file: Table_6.yaml
#: keyword reactions: PB PB --> PI+ X | PB PB --> PI- X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword cmenergies: 2760.0
#: CENTRALITY [pct],,,40.0-50.0
#: RE,,,PB PB --> PI+ X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.625,0.6,0.65,20.55,0.1,-0.1,1.03,-1.03,2.4%,-2.4%
0.675,0.65,0.7,16.81,0.09,-0.09,0.83,-0.83,2.4%,-2.4%
0.725,0.7,0.75,13.73,0.08,-0.08,0.67,-0.67,2.4%,-2.4%
0.775,0.75,0.8,11.32,0.07,-0.07,0.56,-0.56,2.4%,-2.4%
0.825,0.8,0.85,9.388,0.066,-0.066,0.458,-0.458,2.4%,-2.4%
0.875,0.85,0.9,7.814,0.058,-0.058,0.379,-0.379,2.4%,-2.4%
0.925,0.9,0.95,6.539,0.054,-0.054,0.316,-0.316,2.4%,-2.4%
0.975,0.95,1.0,5.489,0.049,-0.049,0.265,-0.265,2.4%,-2.4%
1.05,1.0,1.1,4.239,0.029,-0.029,0.204,-0.204,2.4%,-2.4%
1.15,1.1,1.2,3.027,0.024,-0.024,0.145,-0.145,2.4%,-2.4%
1.25,1.2,1.3,2.21,0.013,-0.013,0.133,-0.133,2.4%,-2.4%
1.35,1.3,1.4,1.594,0.01,-0.01,0.097,-0.097,2.4%,-2.4%
1.45,1.4,1.5,1.169,0.008,-0.008,0.071,-0.071,2.4%,-2.4%
1.55,1.5,1.6,0.8589,0.007,-0.007,0.0531,-0.0531,2.4%,-2.4%
1.65,1.6,1.7,0.6363,0.0061,-0.0061,0.0399,-0.0399,2.4%,-2.4%
1.75,1.7,1.8,0.4732,0.0046,-0.0046,0.0302,-0.0302,2.4%,-2.4%
1.85,1.8,1.9,0.3639,0.004,-0.004,0.0238,-0.0238,2.4%,-2.4%
1.95,1.9,2.0,0.2756,0.0038,-0.0038,0.0185,-0.0185,2.4%,-2.4%
2.05,2.0,2.1,0.2107,0.0031,-0.0031,0.0145,-0.0145,2.4%,-2.4%
2.1500000000000004,2.1,2.2,0.1585,0.0027,-0.0027,0.0113,-0.0113,2.4%,-2.4%
2.25,2.2,2.3,0.13,0.0022,-0.0022,0.0095,-0.0095,2.4%,-2.4%
2.3499999999999996,2.3,2.4,0.09742,0.0017,-0.0017,0.00741,-0.00741,2.4%,-2.4%
2.45,2.4,2.5,0.07753,0.00208,-0.00208,0.00613,-0.00613,2.4%,-2.4%
2.55,2.5,2.6,0.06207,0.00175,-0.00175,0.00511,-0.00511,2.4%,-2.4%
2.6500000000000004,2.6,2.7,0.04982,0.00176,-0.00176,0.00428,-0.00428,2.4%,-2.4%
2.75,2.7,2.8,0.04089,0.00117,-0.00117,0.00367,-0.00367,2.4%,-2.4%
2.8499999999999996,2.8,2.9,0.03175,0.00088,-0.00088,0.00298,-0.00298,2.4%,-2.4%
2.95,2.9,3.0,0.02697,0.00101,-0.00101,0.00265,-0.00265,2.4%,-2.4%

