#: table_doi: 10.17182/hepdata.61925.v1/t54
#: name: Table 54
#: description: pT-differential ratio of kaon / pion in Pb-Pb collisions at sqrt(sNN) = 2.76 TeV for centrality 50-60%.

#: data_file: Table_54.yaml
#: keyword reactions: PB PB --> K+ X | PB PB --> K- X | PB PB --> PI+ X | PB PB --> PI- X
#: keyword observables: SIG/SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Strange Production
#: keyword cmenergies: 2760.0
#: CENTRALITY [pct],,,50.0-60.0
#: RE(K+ + K-),,,PB PB --> (K+ + K-) X
#: RE(PI+ + PI-),,,PB PB --> (PI+ + PI-) X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,SIG(K+ + K-)/SIG(PI+ + PI-),stat +,stat -,sys +,sys -
0.225,0.2,0.25,0.0668,0.00116,-0.00116,0.00505,-0.00505
0.275,0.25,0.3,0.08088,0.00107,-0.00107,0.00463,-0.00463
0.32499999999999996,0.3,0.35,0.09947,0.00117,-0.00117,0.0049,-0.0049
0.375,0.35,0.4,0.1189,0.0013,-0.0013,0.005,-0.005
0.42500000000000004,0.4,0.45,0.1367,0.003,-0.003,0.0066,-0.0066
0.475,0.45,0.5,0.1538,0.0019,-0.0019,0.0109,-0.0109
0.525,0.5,0.55,0.1721,0.0031,-0.0031,0.0068,-0.0068
0.575,0.55,0.6,0.1865,0.0035,-0.0035,0.0059,-0.0059
0.625,0.6,0.65,0.1921,0.0036,-0.0036,0.0066,-0.0066
0.675,0.65,0.7,0.2123,0.0041,-0.0041,0.0068,-0.0068
0.725,0.7,0.75,0.221,0.0043,-0.0043,0.0066,-0.0066
0.775,0.75,0.8,0.2416,0.005,-0.005,0.0078,-0.0078
0.825,0.8,0.85,0.2579,0.0056,-0.0056,0.0076,-0.0076
0.875,0.85,0.9,0.2729,0.0061,-0.0061,0.0079,-0.0079
0.925,0.9,0.95,0.2939,0.007,-0.007,0.0096,-0.0096
0.975,0.95,1.0,0.2966,0.0074,-0.0074,0.0108,-0.0108
1.05,1.0,1.1,0.3207,0.0062,-0.0062,0.0095,-0.0095
1.15,1.1,1.2,0.3379,0.0072,-0.0072,0.0099,-0.0099
1.25,1.2,1.3,0.3517,0.0052,-0.0052,0.0175,-0.0175
1.35,1.3,1.4,0.361,0.0059,-0.0059,0.0191,-0.0191
1.45,1.4,1.5,0.3978,0.0073,-0.0073,0.0226,-0.0226
1.55,1.5,1.6,0.4065,0.008,-0.008,0.0251,-0.0251
1.65,1.6,1.7,0.4162,0.0091,-0.0091,0.0279,-0.0279
1.75,1.7,1.8,0.4398,0.0104,-0.0104,0.0322,-0.0322
1.85,1.8,1.9,0.4157,0.0104,-0.0104,0.0331,-0.0331
1.95,1.9,2.0,0.4465,0.0132,-0.0132,0.0387,-0.0387
2.05,2.0,2.1,0.4669,0.0145,-0.0145,0.0438,-0.0438
2.1500000000000004,2.1,2.2,0.4636,0.0158,-0.0158,0.047,-0.047
2.25,2.2,2.3,0.51,0.0186,-0.0186,0.0555,-0.0555
2.3499999999999996,2.3,2.4,0.4639,0.0176,-0.0176,0.0539,-0.0539
2.45,2.4,2.5,0.4987,0.0223,-0.0223,0.0616,-0.0616
2.55,2.5,2.6,0.477,0.022,-0.022,0.0623,-0.0623
2.6500000000000004,2.6,2.7,0.4662,0.0239,-0.0239,0.064,-0.064
2.75,2.7,2.8,0.488,0.0255,-0.0255,0.07,-0.07
2.8499999999999996,2.8,2.9,0.5045,0.0275,-0.0275,0.0752,-0.0752
2.95,2.9,3.0,0.4233,0.0254,-0.0254,0.0652,-0.0652

