#: table_doi: 10.17182/hepdata.61925.v1/t22
#: name: Table 22
#: description: pT-differential invariant yield of proton and antiproton for centrality 5-10%.

#: data_file: Table_22.yaml
#: keyword reactions: PB PB --> P X | PB PB --> PBAR X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword cmenergies: 2760.0
#: CENTRALITY [pct],,,5.0-10.0
#: RE,,,PB PB --> P X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.925,0.9,0.95,2.762,0.047,-0.047,0.181,-0.181,0.5%,-0.5%
0.975,0.95,1.0,2.595,0.046,-0.046,0.167,-0.167,0.5%,-0.5%
1.05,1.0,1.1,2.415,0.031,-0.031,0.152,-0.152,0.5%,-0.5%
1.15,1.1,1.2,2.198,0.031,-0.031,0.141,-0.141,0.5%,-0.5%
1.25,1.2,1.3,2.031,0.031,-0.031,0.124,-0.124,0.5%,-0.5%
1.35,1.3,1.4,1.784,0.03,-0.03,0.107,-0.107,0.5%,-0.5%
1.45,1.4,1.5,1.579,0.028,-0.028,0.097,-0.097,0.5%,-0.5%
1.55,1.5,1.6,1.365,0.027,-0.027,0.081,-0.081,0.5%,-0.5%
1.65,1.6,1.7,1.106,0.023,-0.023,0.066,-0.066,0.5%,-0.5%
1.75,1.7,1.8,0.9561,0.022,-0.022,0.0582,-0.0582,0.5%,-0.5%
1.85,1.8,1.9,0.804,0.0151,-0.0151,0.0642,-0.0642,0.5%,-0.5%
1.95,1.9,2.0,0.6568,0.0129,-0.0129,0.0532,-0.0532,0.5%,-0.5%
2.05,2.0,2.1,0.5434,0.0116,-0.0116,0.0447,-0.0447,0.5%,-0.5%
2.1500000000000004,2.1,2.2,0.4725,0.0113,-0.0113,0.0397,-0.0397,0.5%,-0.5%
2.25,2.2,2.3,0.3648,0.009,-0.009,0.0313,-0.0313,0.5%,-0.5%
2.3499999999999996,2.3,2.4,0.3172,0.0087,-0.0087,0.0279,-0.0279,0.5%,-0.5%
2.45,2.4,2.5,0.2516,0.0073,-0.0073,0.0227,-0.0227,0.5%,-0.5%
2.55,2.5,2.6,0.2057,0.0063,-0.0063,0.0192,-0.0192,0.5%,-0.5%
2.6500000000000004,2.6,2.7,0.1591,0.0052,-0.0052,0.0153,-0.0153,0.5%,-0.5%
2.75,2.7,2.8,0.1345,0.0048,-0.0048,0.0134,-0.0134,0.5%,-0.5%
2.8499999999999996,2.8,2.9,0.1076,0.0041,-0.0041,0.0111,-0.0111,0.5%,-0.5%
2.95,2.9,3.0,0.08375,0.00336,-0.00336,0.00895,-0.00895,0.5%,-0.5%
3.1,3.0,3.2,0.06458,0.00207,-0.00207,0.00731,-0.00731,0.5%,-0.5%
3.3,3.2,3.4,0.03782,0.00128,-0.00128,0.00465,-0.00465,0.5%,-0.5%
3.5,3.4,3.6,0.02611,0.00106,-0.00106,0.00349,-0.00349,0.5%,-0.5%
3.7,3.6,3.8,0.01542,0.00066,-0.00066,0.00225,-0.00225,0.5%,-0.5%
3.9,3.8,4.0,0.01104,0.00056,-0.00056,0.00175,-0.00175,0.5%,-0.5%
4.1,4.0,4.2,0.006912,0.000397,-0.000397,0.001199,-0.001199,0.5%,-0.5%
4.300000000000001,4.2,4.4,0.004845,0.000321,-0.000321,0.000916,-0.000916,0.5%,-0.5%
4.5,4.4,4.6,0.003428,0.000264,-0.000264,0.000707,-0.000707,0.5%,-0.5%

