#: table_doi: 10.17182/hepdata.61925.v1/t38
#: name: Table 38
#: description: pT-differential ratio of proton / pion in Pb-Pb collisions at sqrt(sNN) = 2.76 TeV for centrality 0-5%.

#: data_file: Table_38.yaml
#: keyword reactions: PB PB --> P X | PB PB --> PBAR X | PB PB --> PI+ X | PB PB --> PI- X
#: keyword observables: SIG/SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section
#: keyword cmenergies: 2760.0
#: CENTRALITY [pct],,,0.0-5.0
#: RE(P + PBAR),,,PB PB --> (P + PBAR) X
#: RE(PI+ + PI-),,,PB PB --> (PI+ + PI-) X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,SIG(P + PBAR)/SIG(PI+ + PI-),stat +,stat -,sys +,sys -
0.32499999999999996,0.3,0.35,0.009188,0.000222,-0.000222,0.00103,-0.00103
0.375,0.35,0.4,0.01134,0.00022,-0.00022,0.00121,-0.00121
0.42500000000000004,0.4,0.45,0.01396,0.00022,-0.00022,0.00145,-0.00145
0.475,0.45,0.5,0.01712,0.0002,-0.0002,0.00167,-0.00167
0.525,0.5,0.55,0.02151,0.00022,-0.00022,0.00119,-0.00119
0.575,0.55,0.6,0.02624,0.00022,-0.00022,0.0014,-0.0014
0.625,0.6,0.65,0.03079,0.00022,-0.00022,0.00153,-0.00153
0.675,0.65,0.7,0.03665,0.00029,-0.00029,0.00173,-0.00173
0.725,0.7,0.75,0.04376,0.00036,-0.00036,0.00196,-0.00196
0.775,0.75,0.8,0.05069,0.00043,-0.00043,0.00217,-0.00217
0.825,0.8,0.85,0.05881,0.00052,-0.00052,0.00189,-0.00189
0.875,0.85,0.9,0.06762,0.00062,-0.00062,0.00234,-0.00234
0.925,0.9,0.95,0.07725,0.00073,-0.00073,0.00284,-0.00284
0.975,0.95,1.0,0.08704,0.00087,-0.00087,0.00256,-0.00256
1.05,1.0,1.1,0.1055,0.0008,-0.0008,0.0038,-0.0038
1.15,1.1,1.2,0.1349,0.0011,-0.0011,0.005,-0.005
1.25,1.2,1.3,0.164,0.0013,-0.0013,0.0067,-0.0067
1.35,1.3,1.4,0.2004,0.0018,-0.0018,0.0081,-0.0081
1.45,1.4,1.5,0.245,0.0023,-0.0023,0.0099,-0.0099
1.55,1.5,1.6,0.2828,0.0029,-0.0029,0.0116,-0.0116
1.65,1.6,1.7,0.3357,0.0038,-0.0038,0.0142,-0.0142
1.75,1.7,1.8,0.3868,0.0047,-0.0047,0.017,-0.017
1.85,1.8,1.9,0.4353,0.0057,-0.0057,0.0201,-0.0201
1.95,1.9,2.0,0.4842,0.0073,-0.0073,0.0235,-0.0235
2.05,2.0,2.1,0.5325,0.0085,-0.0085,0.0274,-0.0274
2.1500000000000004,2.1,2.2,0.5914,0.0106,-0.0106,0.0322,-0.0322
2.25,2.2,2.3,0.6288,0.0113,-0.0113,0.0363,-0.0363
2.3499999999999996,2.3,2.4,0.639,0.012,-0.012,0.039,-0.039
2.45,2.4,2.5,0.7087,0.0173,-0.0173,0.0456,-0.0456
2.55,2.5,2.6,0.7486,0.0191,-0.0191,0.0505,-0.0505
2.6500000000000004,2.6,2.7,0.775,0.0235,-0.0235,0.0545,-0.0545
2.75,2.7,2.8,0.8228,0.0228,-0.0228,0.0599,-0.0599
2.8499999999999996,2.8,2.9,0.8143,0.0227,-0.0227,0.061,-0.061
2.95,2.9,3.0,0.8161,0.0272,-0.0272,0.0623,-0.0623

