#: table_doi: 10.17182/hepdata.61925.v1/t9
#: name: Table 9
#: description: pT-differential invariant yield of pion+ and pion- for centrality 70-80%.

#: data_file: Table_9.yaml
#: keyword reactions: PB PB --> PI+ X | PB PB --> PI- X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword cmenergies: 2760.0
#: CENTRALITY [pct],,,70.0-80.0
#: RE,,,PB PB --> PI+ X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.11,0.1,0.12,46.51,0.66,-0.66,4.63,-4.63,6.7%,-6.7%
0.13,0.12,0.14,40.76,0.41,-0.41,3.49,-3.49,6.7%,-6.7%
0.15000000000000002,0.14,0.16,35.58,0.32,-0.32,3.03,-3.03,6.7%,-6.7%
0.16999999999999998,0.16,0.18,30.9,0.25,-0.25,2.62,-2.62,6.7%,-6.7%
0.19,0.18,0.2,27.78,0.22,-0.22,2.35,-2.35,6.7%,-6.7%
0.225,0.2,0.25,21.94,0.15,-0.15,1.33,-1.33,6.7%,-6.7%
0.275,0.25,0.3,16.05,0.11,-0.11,0.96,-0.96,6.7%,-6.7%
0.32499999999999996,0.3,0.35,11.84,0.08,-0.08,0.75,-0.75,6.7%,-6.7%
0.375,0.35,0.4,8.99,0.07,-0.07,0.531,-0.531,6.7%,-6.7%
0.42500000000000004,0.4,0.45,6.735,0.056,-0.056,0.398,-0.398,6.7%,-6.7%
0.475,0.45,0.5,5.225,0.047,-0.047,0.301,-0.301,6.7%,-6.7%
0.525,0.5,0.55,4.033,0.031,-0.031,0.179,-0.179,6.7%,-6.7%
0.575,0.55,0.6,3.189,0.027,-0.027,0.14,-0.14,6.7%,-6.7%
0.625,0.6,0.65,2.569,0.029,-0.029,0.129,-0.129,6.7%,-6.7%
0.675,0.65,0.7,2.058,0.024,-0.024,0.103,-0.103,6.7%,-6.7%
0.725,0.7,0.75,1.678,0.021,-0.021,0.083,-0.083,6.7%,-6.7%
0.775,0.75,0.8,1.337,0.018,-0.018,0.068,-0.068,6.7%,-6.7%
0.825,0.8,0.85,1.12,0.017,-0.017,0.055,-0.055,6.7%,-6.7%
0.875,0.85,0.9,0.9205,0.0146,-0.0146,0.0449,-0.0449,6.7%,-6.7%
0.925,0.9,0.95,0.7548,0.0134,-0.0134,0.0418,-0.0418,6.7%,-6.7%
0.975,0.95,1.0,0.6338,0.012,-0.012,0.0307,-0.0307,6.7%,-6.7%
1.05,1.0,1.1,0.4754,0.0071,-0.0071,0.0253,-0.0253,6.7%,-6.7%
1.15,1.1,1.2,0.3444,0.0059,-0.0059,0.0178,-0.0178,6.7%,-6.7%
1.25,1.2,1.3,0.2382,0.0022,-0.0022,0.0145,-0.0145,6.7%,-6.7%
1.35,1.3,1.4,0.1756,0.0018,-0.0018,0.0107,-0.0107,6.7%,-6.7%
1.45,1.4,1.5,0.1293,0.0015,-0.0015,0.008,-0.008,6.7%,-6.7%
1.55,1.5,1.6,0.09401,0.00121,-0.00121,0.00586,-0.00586,6.7%,-6.7%
1.65,1.6,1.7,0.07048,0.00104,-0.00104,0.00446,-0.00446,6.7%,-6.7%
1.75,1.7,1.8,0.05217,0.00081,-0.00081,0.00336,-0.00336,6.7%,-6.7%
1.85,1.8,1.9,0.04136,0.00074,-0.00074,0.00272,-0.00272,6.7%,-6.7%
