#: table_doi: 10.17182/hepdata.61925.v1/t13
#: name: Table 13
#: description: pT-differential invariant yield of kaon+ and kaon- for centrality 10-20%.

#: data_file: Table_13.yaml
#: keyword reactions: PB PB --> K+ X | PB PB --> K- X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence | Strange Production
#: keyword cmenergies: 2760.0
#: CENTRALITY [pct],,,10.0-20.0
#: RE,,,PB PB --> K+ X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
1.35,1.3,1.4,2.576,0.026,-0.026,0.235,-0.235,0.7%,-0.7%
1.45,1.4,1.5,1.952,0.021,-0.021,0.182,-0.182,0.7%,-0.7%
1.55,1.5,1.6,1.561,0.019,-0.019,0.149,-0.149,0.7%,-0.7%
1.65,1.6,1.7,1.181,0.015,-0.015,0.117,-0.117,0.7%,-0.7%
1.75,1.7,1.8,0.911,0.0126,-0.0126,0.0934,-0.0934,0.7%,-0.7%
1.85,1.8,1.9,0.7155,0.0108,-0.0108,0.0765,-0.0765,0.7%,-0.7%
1.95,1.9,2.0,0.5358,0.0085,-0.0085,0.06,-0.06,0.7%,-0.7%
2.05,2.0,2.1,0.449,0.008,-0.008,0.0529,-0.0529,0.7%,-0.7%
2.1500000000000004,2.1,2.2,0.3386,0.0064,-0.0064,0.042,-0.042,0.7%,-0.7%
2.25,2.2,2.3,0.256,0.0051,-0.0051,0.0336,-0.0336,0.7%,-0.7%
2.3499999999999996,2.3,2.4,0.2115,0.0048,-0.0048,0.0294,-0.0294,0.7%,-0.7%
2.45,2.4,2.5,0.1643,0.0039,-0.0039,0.0243,-0.0243,0.7%,-0.7%
2.55,2.5,2.6,0.1184,0.0028,-0.0028,0.0186,-0.0186,0.7%,-0.7%
2.6500000000000004,2.6,2.7,0.1008,0.0028,-0.0028,0.0168,-0.0168,0.7%,-0.7%
2.75,2.7,2.8,0.07602,0.00218,-0.00218,0.0135,-0.0135,0.7%,-0.7%
2.8499999999999996,2.8,2.9,0.06133,0.00193,-0.00193,0.01159,-0.01159,0.7%,-0.7%
2.95,2.9,3.0,0.04791,0.00157,-0.00157,0.00964,-0.00964,0.7%,-0.7%

