#: table_doi: 10.17182/hepdata.61925.v1/t24
#: name: Table 24
#: description: pT-differential invariant yield of proton and antiproton for centrality 20-30%.

#: data_file: Table_24.yaml
#: keyword reactions: PB PB --> P X | PB PB --> PBAR X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword cmenergies: 2760.0
#: CENTRALITY [pct],,,20.0-30.0
#: RE,,,PB PB --> P X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.32499999999999996,0.3,0.35,2.238,0.059,-0.059,0.289,-0.289,1.0%,-1.0%
0.375,0.35,0.4,2.116,0.044,-0.044,0.27,-0.27,1.0%,-1.0%
0.42500000000000004,0.4,0.45,2.146,0.038,-0.038,0.267,-0.267,1.0%,-1.0%
0.475,0.45,0.5,1.787,0.02,-0.02,0.269,-0.269,1.0%,-1.0%
0.525,0.5,0.55,1.878,0.02,-0.02,0.244,-0.244,1.0%,-1.0%
0.575,0.55,0.6,1.887,0.02,-0.02,0.234,-0.234,1.0%,-1.0%
0.625,0.6,0.65,1.804,0.016,-0.016,0.168,-0.168,1.0%,-1.0%
0.675,0.65,0.7,1.785,0.016,-0.016,0.149,-0.149,1.0%,-1.0%
0.725,0.7,0.75,1.758,0.018,-0.018,0.15,-0.15,1.0%,-1.0%
0.775,0.75,0.8,1.731,0.018,-0.018,0.15,-0.15,1.0%,-1.0%
0.825,0.8,0.85,1.686,0.018,-0.018,0.147,-0.147,1.0%,-1.0%
0.875,0.85,0.9,1.611,0.018,-0.018,0.131,-0.131,1.0%,-1.0%
0.925,0.9,0.95,1.539,0.017,-0.017,0.127,-0.127,1.0%,-1.0%
0.975,0.95,1.0,1.454,0.017,-0.017,0.103,-0.103,1.0%,-1.0%
1.05,1.0,1.1,1.346,0.012,-0.012,0.089,-0.089,1.0%,-1.0%
1.15,1.1,1.2,1.195,0.011,-0.011,0.076,-0.076,1.0%,-1.0%
1.25,1.2,1.3,1.049,0.011,-0.011,0.071,-0.071,1.0%,-1.0%
1.35,1.3,1.4,0.9141,0.0102,-0.0102,0.0574,-0.0574,1.0%,-1.0%
1.45,1.4,1.5,0.7897,0.0095,-0.0095,0.0465,-0.0465,1.0%,-1.0%
1.55,1.5,1.6,0.6752,0.0089,-0.0089,0.0395,-0.0395,1.0%,-1.0%
1.65,1.6,1.7,0.5623,0.0082,-0.0082,0.0307,-0.0307,1.0%,-1.0%
1.75,1.7,1.8,0.4735,0.0074,-0.0074,0.026,-0.026,1.0%,-1.0%
1.85,1.8,1.9,0.3818,0.0048,-0.0048,0.0264,-0.0264,1.0%,-1.0%
1.95,1.9,2.0,0.3184,0.0044,-0.0044,0.0221,-0.0221,1.0%,-1.0%
2.05,2.0,2.1,0.2599,0.0038,-0.0038,0.0182,-0.0182,1.0%,-1.0%
2.1500000000000004,2.1,2.2,0.2191,0.0035,-0.0035,0.0156,-0.0156,1.0%,-1.0%
2.25,2.2,2.3,0.1735,0.003,-0.003,0.0125,-0.0125,1.0%,-1.0%
2.3499999999999996,2.3,2.4,0.1471,0.0027,-0.0027,0.0109,-0.0109,1.0%,-1.0%
2.45,2.4,2.5,0.1181,0.0023,-0.0023,0.009,-0.009,1.0%,-1.0%
2.55,2.5,2.6,0.09303,0.00191,-0.00191,0.00726,-0.00726,1.0%,-1.0%
2.6500000000000004,2.6,2.7,0.0764,0.00172,-0.00172,0.00616,-0.00616,1.0%,-1.0%
2.75,2.7,2.8,0.0623,0.00147,-0.00147,0.00521,-0.00521,1.0%,-1.0%
2.8499999999999996,2.8,2.9,0.05005,0.00125,-0.00125,0.00436,-0.00436,1.0%,-1.0%
2.95,2.9,3.0,0.03852,0.00098,-0.00098,0.0035,-0.0035,1.0%,-1.0%
3.1,3.0,3.2,0.03061,0.00064,-0.00064,0.00297,-0.00297,1.0%,-1.0%
3.3,3.2,3.4,0.01992,0.00046,-0.00046,0.00213,-0.00213,1.0%,-1.0%
3.5,3.4,3.6,0.01229,0.00031,-0.00031,0.00145,-0.00145,1.0%,-1.0%
3.7,3.6,3.8,0.008231,0.000233,-0.000233,0.001081,-0.001081,1.0%,-1.0%
3.9,3.8,4.0,0.005859,0.000203,-0.000203,0.000855,-0.000855,1.0%,-1.0%
4.1,4.0,4.2,0.003675,0.000137,-0.000137,0.000596,-0.000596,1.0%,-1.0%
4.300000000000001,4.2,4.4,0.002665,0.00012,-0.00012,0.00048,-0.00048,1.0%,-1.0%
4.5,4.4,4.6,0.001702,8.3e-05,-8.3e-05,0.00034,-0.00034,1.0%,-1.0%

#: CENTRALITY [pct],,,20.0-30.0
#: RE,,,PB PB --> PBAR X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.32499999999999996,0.3,0.35,2.371,0.068,-0.068,0.326,-0.326,1.0%,-1.0%
0.375,0.35,0.4,2.332,0.055,-0.055,0.301,-0.301,1.0%,-1.0%
0.42500000000000004,0.4,0.45,2.224,0.044,-0.044,0.283,-0.283,1.0%,-1.0%
0.475,0.45,0.5,1.878,0.024,-0.024,0.259,-0.259,1.0%,-1.0%
0.525,0.5,0.55,1.934,0.024,-0.024,0.24,-0.24,1.0%,-1.0%
0.575,0.55,0.6,1.919,0.023,-0.023,0.186,-0.186,1.0%,-1.0%
0.625,0.6,0.65,1.805,0.02,-0.02,0.159,-0.159,1.0%,-1.0%
0.675,0.65,0.7,1.776,0.027,-0.027,0.153,-0.153,1.0%,-1.0%
0.725,0.7,0.75,1.787,0.027,-0.027,0.141,-0.141,1.0%,-1.0%
0.775,0.75,0.8,1.705,0.025,-0.025,0.128,-0.128,1.0%,-1.0%
