#: table_doi: 10.17182/hepdata.61925.v1/t29
#: name: Table 29
#: description: pT-differential invariant yield of proton and antiproton for centrality 70-80%.

#: data_file: Table_29.yaml
#: keyword reactions: PB PB --> P X | PB PB --> PBAR X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword cmenergies: 2760.0
#: CENTRALITY [pct],,,70.0-80.0
#: RE,,,PB PB --> P X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.32499999999999996,0.3,0.35,0.2279,0.0159,-0.0159,0.0252,-0.0252,6.7%,-6.7%
0.375,0.35,0.4,0.3003,0.0194,-0.0194,0.0326,-0.0326,6.7%,-6.7%
0.42500000000000004,0.4,0.45,0.2501,0.0128,-0.0128,0.0262,-0.0262,6.7%,-6.7%
0.475,0.45,0.5,0.2125,0.0076,-0.0076,0.0219,-0.0219,6.7%,-6.7%
0.525,0.5,0.55,0.1997,0.0068,-0.0068,0.0144,-0.0144,6.7%,-6.7%
0.575,0.55,0.6,0.194,0.0064,-0.0064,0.0178,-0.0178,6.7%,-6.7%
0.625,0.6,0.65,0.1835,0.0053,-0.0053,0.0157,-0.0157,6.7%,-6.7%
0.675,0.65,0.7,0.1658,0.0046,-0.0046,0.0125,-0.0125,6.7%,-6.7%
0.725,0.7,0.75,0.1533,0.0051,-0.0051,0.011,-0.011,6.7%,-6.7%
0.775,0.75,0.8,0.1405,0.0046,-0.0046,0.0094,-0.0094,6.7%,-6.7%
0.825,0.8,0.85,0.1294,0.0043,-0.0043,0.0083,-0.0083,6.7%,-6.7%
0.875,0.85,0.9,0.116,0.004,-0.004,0.0072,-0.0072,6.7%,-6.7%
0.925,0.9,0.95,0.1069,0.0037,-0.0037,0.0071,-0.0071,6.7%,-6.7%
0.975,0.95,1.0,0.09674,0.00367,-0.00367,0.00635,-0.00635,6.7%,-6.7%
1.05,1.0,1.1,0.08343,0.00234,-0.00234,0.00494,-0.00494,6.7%,-6.7%
1.15,1.1,1.2,0.06327,0.00188,-0.00188,0.00369,-0.00369,6.7%,-6.7%
1.25,1.2,1.3,0.05076,0.0017,-0.0017,0.00307,-0.00307,6.7%,-6.7%
1.35,1.3,1.4,0.04169,0.00148,-0.00148,0.00251,-0.00251,6.7%,-6.7%
1.45,1.4,1.5,0.03213,0.00127,-0.00127,0.00187,-0.00187,6.7%,-6.7%
1.55,1.5,1.6,0.02566,0.00112,-0.00112,0.00151,-0.00151,6.7%,-6.7%
1.65,1.6,1.7,0.02023,0.00096,-0.00096,0.0012,-0.0012,6.7%,-6.7%
1.75,1.7,1.8,0.01652,0.00086,-0.00086,0.00118,-0.00118,6.7%,-6.7%
1.85,1.8,1.9,0.01305,0.00042,-0.00042,0.0009,-0.0009,6.7%,-6.7%
1.95,1.9,2.0,0.009764,0.000338,-0.000338,0.000678,-0.000678,6.7%,-6.7%
2.05,2.0,2.1,0.007976,0.000297,-0.000297,0.000559,-0.000559,6.7%,-6.7%
2.1500000000000004,2.1,2.2,0.006557,0.000275,-0.000275,0.000466,-0.000466,6.7%,-6.7%
2.25,2.2,2.3,0.004716,0.000214,-0.000214,0.000341,-0.000341,6.7%,-6.7%
2.3499999999999996,2.3,2.4,0.003856,0.000172,-0.000172,0.000285,-0.000285,6.7%,-6.7%
2.45,2.4,2.5,0.003473,0.00019,-0.00019,0.000263,-0.000263,6.7%,-6.7%
2.55,2.5,2.6,0.002636,0.000153,-0.000153,0.000206,-0.000206,6.7%,-6.7%
2.6500000000000004,2.6,2.7,0.00206,0.00013,-0.00013,0.000166,-0.000166,6.7%,-6.7%
2.75,2.7,2.8,0.001532,9.6e-05,-9.6e-05,0.000128,-0.000128,6.7%,-6.7%
2.8499999999999996,2.8,2.9,0.001523,0.000113,-0.000113,0.000132,-0.000132,6.7%,-6.7%
2.95,2.9,3.0,0.0009423,8.07e-05,-8.07e-05,8.55e-05,-8.55e-05,6.7%,-6.7%
3.1,3.0,3.2,0.0008154,4.58e-05,-4.58e-05,7.92e-05,-7.92e-05,6.7%,-6.7%
3.3,3.2,3.4,0.0005208,3.61e-05,-3.61e-05,5.57e-05,-5.57e-05,6.7%,-6.7%
3.5,3.4,3.6,0.0003678,3.04e-05,-3.04e-05,4.35e-05,-4.35e-05,6.7%,-6.7%
3.7,3.6,3.8,0.0003042,3.19e-05,-3.19e-05,4e-05,-4e-05,6.7%,-6.7%
3.9,3.8,4.0,0.0002206,2.51e-05,-2.51e-05,3.22e-05,-3.22e-05,6.7%,-6.7%
4.1,4.0,4.2,0.0001537,2.08e-05,-2.08e-05,2.49e-05,-2.49e-05,6.7%,-6.7%
4.300000000000001,4.2,4.4,6.892e-05,1.302e-05,-1.302e-05,1.241e-05,-1.241e-05,6.7%,-6.7%
4.5,4.4,4.6,8.338e-05,1.617e-05,-1.617e-05,1.663e-05,-1.663e-05,6.7%,-6.7%

#: CENTRALITY [pct],,,70.0-80.0
#: RE,,,PB PB --> PBAR X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.32499999999999996,0.3,0.35,0.2865,0.0229,-0.0229,0.0345,-0.0345,6.7%,-6.7%
0.375,0.35,0.4,0.2538,0.0161,-0.0161,0.028,-0.028,6.7%,-6.7%
0.42500000000000004,0.4,0.45,0.2461,0.0142,-0.0142,0.0267,-0.0267,6.7%,-6.7%
0.475,0.45,0.5,0.2152,0.0088,-0.0088,0.0314,-0.0314,6.7%,-6.7%
0.525,0.5,0.55,0.2003,0.0078,-0.0078,0.0163,-0.0163,6.7%,-6.7%
0.575,0.55,0.6,0.2032,0.0078,-0.0078,0.0178,-0.0178,6.7%,-6.7%
0.625,0.6,0.65,0.1815,0.0062,-0.0062,0.0149,-0.0149,6.7%,-6.7%
0.675,0.65,0.7,0.1716,0.0084,-0.0084,0.0138,-0.0138,6.7%,-6.7%
0.725,0.7,0.75,0.1675,0.0075,-0.0075,0.014,-0.014,6.7%,-6.7%
0.775,0.75,0.8,0.1512,0.0072,-0.0072,0.012,-0.012,6.7%,-6.7%
0.825,0.8,0.85,0.1371,0.0063,-0.0063,0.0111,-0.0111,6.7%,-6.7%
0.875,0.85,0.9,0.1215,0.0058,-0.0058,0.008,-0.008,6.7%,-6.7%
0.925,0.9,0.95,0.1106,0.0051,-0.0051,0.0092,-0.0092,6.7%,-6.7%
0.975,0.95,1.0,0.1038,0.0053,-0.0053,0.0071,-0.0071,6.7%,-6.7%
1.05,1.0,1.1,0.08514,0.003,-0.003,0.00699,-0.00699,6.7%,-6.7%
1.15,1.1,1.2,0.06683,0.00268,-0.00268,0.00531,-0.00531,6.7%,-6.7%
1.25,1.2,1.3,0.0535,0.00237,-0.00237,0.00354,-0.00354,6.7%,-6.7%
1.35,1.3,1.4,0.04433,0.00221,-0.00221,0.00299,-0.00299,6.7%,-6.7%
1.45,1.4,1.5,0.03329,0.00177,-0.00177,0.00208,-0.00208,6.7%,-6.7%
1.55,1.5,1.6,0.02647,0.00149,-0.00149,0.00209,-0.00209,6.7%,-6.7%
1.65,1.6,1.7,0.02077,0.00135,-0.00135,0.00125,-0.00125,6.7%,-6.7%
1.75,1.7,1.8,0.01598,0.00108,-0.00108,0.00104,-0.00104,6.7%,-6.7%
1.85,1.8,1.9,0.01214,0.00044,-0.00044,0.00097,-0.00097,6.7%,-6.7%
1.95,1.9,2.0,0.009241,0.000353,-0.000353,0.000748,-0.000748,6.7%,-6.7%
2.05,2.0,2.1,0.008334,0.000383,-0.000383,0.000686,-0.000686,6.7%,-6.7%
2.1500000000000004,2.1,2.2,0.006582,0.00032,-0.00032,0.000552,-0.000552,6.7%,-6.7%
2.25,2.2,2.3,0.005142,0.000272,-0.000272,0.000441,-0.000441,6.7%,-6.7%
2.3499999999999996,2.3,2.4,0.004134,0.00023,-0.00023,0.000364,-0.000364,6.7%,-6.7%
2.45,2.4,2.5,0.003174,0.00019,-0.00019,0.000287,-0.000287,6.7%,-6.7%
2.55,2.5,2.6,0.002758,0.000198,-0.000198,0.000257,-0.000257,6.7%,-6.7%
