#: table_doi: 10.17182/hepdata.61925.v1/t25
#: name: Table 25
#: description: pT-differential invariant yield of proton and antiproton for centrality 30-40%.

#: data_file: Table_25.yaml
#: keyword reactions: PB PB --> P X | PB PB --> PBAR X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword cmenergies: 2760.0
#: CENTRALITY [pct],,,30.0-40.0
#: RE,,,PB PB --> P X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.32499999999999996,0.3,0.35,1.57,0.046,-0.046,0.195,-0.195,2.0%,-2.0%
0.375,0.35,0.4,1.61,0.038,-0.038,0.198,-0.198,2.0%,-2.0%
0.42500000000000004,0.4,0.45,1.602,0.032,-0.032,0.192,-0.192,2.0%,-2.0%
0.475,0.45,0.5,1.295,0.017,-0.017,0.241,-0.241,2.0%,-2.0%
0.525,0.5,0.55,1.34,0.017,-0.017,0.183,-0.183,2.0%,-2.0%
0.575,0.55,0.6,1.321,0.016,-0.016,0.16,-0.16,2.0%,-2.0%
0.625,0.6,0.65,1.281,0.014,-0.014,0.111,-0.111,2.0%,-2.0%
0.675,0.65,0.7,1.248,0.013,-0.013,0.107,-0.107,2.0%,-2.0%
0.725,0.7,0.75,1.244,0.015,-0.015,0.109,-0.109,2.0%,-2.0%
0.775,0.75,0.8,1.219,0.015,-0.015,0.104,-0.104,2.0%,-2.0%
0.825,0.8,0.85,1.163,0.014,-0.014,0.095,-0.095,2.0%,-2.0%
0.875,0.85,0.9,1.116,0.014,-0.014,0.08,-0.08,2.0%,-2.0%
0.925,0.9,0.95,1.071,0.014,-0.014,0.078,-0.078,2.0%,-2.0%
0.975,0.95,1.0,1.009,0.014,-0.014,0.069,-0.069,2.0%,-2.0%
1.05,1.0,1.1,0.9156,0.0095,-0.0095,0.0632,-0.0632,2.0%,-2.0%
1.15,1.1,1.2,0.7825,0.0087,-0.0087,0.0503,-0.0503,2.0%,-2.0%
1.25,1.2,1.3,0.6839,0.0084,-0.0084,0.0408,-0.0408,2.0%,-2.0%
1.35,1.3,1.4,0.589,0.0079,-0.0079,0.0345,-0.0345,2.0%,-2.0%
1.45,1.4,1.5,0.5061,0.0074,-0.0074,0.0287,-0.0287,2.0%,-2.0%
1.55,1.5,1.6,0.4317,0.0069,-0.0069,0.0237,-0.0237,2.0%,-2.0%
1.65,1.6,1.7,0.3536,0.0062,-0.0062,0.0192,-0.0192,2.0%,-2.0%
1.75,1.7,1.8,0.2883,0.0054,-0.0054,0.0157,-0.0157,2.0%,-2.0%
1.85,1.8,1.9,0.2339,0.0035,-0.0035,0.0162,-0.0162,2.0%,-2.0%
1.95,1.9,2.0,0.1902,0.003,-0.003,0.0132,-0.0132,2.0%,-2.0%
2.05,2.0,2.1,0.1598,0.0028,-0.0028,0.0112,-0.0112,2.0%,-2.0%
2.1500000000000004,2.1,2.2,0.1297,0.0025,-0.0025,0.0092,-0.0092,2.0%,-2.0%
2.25,2.2,2.3,0.1056,0.0022,-0.0022,0.0076,-0.0076,2.0%,-2.0%
2.3499999999999996,2.3,2.4,0.08456,0.00188,-0.00188,0.00625,-0.00625,2.0%,-2.0%
2.45,2.4,2.5,0.06937,0.0016,-0.0016,0.00526,-0.00526,2.0%,-2.0%
2.55,2.5,2.6,0.05494,0.00135,-0.00135,0.00429,-0.00429,2.0%,-2.0%
2.6500000000000004,2.6,2.7,0.04551,0.00119,-0.00119,0.00367,-0.00367,2.0%,-2.0%
2.75,2.7,2.8,0.03632,0.00101,-0.00101,0.00304,-0.00304,2.0%,-2.0%
2.8499999999999996,2.8,2.9,0.02906,0.00086,-0.00086,0.00253,-0.00253,2.0%,-2.0%
2.95,2.9,3.0,0.02381,0.00075,-0.00075,0.00216,-0.00216,2.0%,-2.0%
3.1,3.0,3.2,0.01801,0.00045,-0.00045,0.00175,-0.00175,2.0%,-2.0%
3.3,3.2,3.4,0.01161,0.00032,-0.00032,0.00124,-0.00124,2.0%,-2.0%
3.5,3.4,3.6,0.00799,0.000252,-0.000252,0.000945,-0.000945,2.0%,-2.0%
3.7,3.6,3.8,0.005155,0.000178,-0.000178,0.000677,-0.000677,2.0%,-2.0%
3.9,3.8,4.0,0.0036,0.000147,-0.000147,0.000525,-0.000525,2.0%,-2.0%
4.1,4.0,4.2,0.002302,0.000105,-0.000105,0.000374,-0.000374,2.0%,-2.0%
4.300000000000001,4.2,4.4,0.001561,8.4e-05,-8.4e-05,0.000281,-0.000281,2.0%,-2.0%
4.5,4.4,4.6,0.001089,7e-05,-7e-05,0.000217,-0.000217,2.0%,-2.0%

#: CENTRALITY [pct],,,30.0-40.0
#: RE,,,PB PB --> PBAR X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.32499999999999996,0.3,0.35,1.858,0.061,-0.061,0.248,-0.248,2.0%,-2.0%
0.375,0.35,0.4,1.697,0.044,-0.044,0.211,-0.211,2.0%,-2.0%
0.42500000000000004,0.4,0.45,1.636,0.036,-0.036,0.201,-0.201,2.0%,-2.0%
0.475,0.45,0.5,1.335,0.02,-0.02,0.2,-0.2,2.0%,-2.0%
0.525,0.5,0.55,1.376,0.02,-0.02,0.152,-0.152,2.0%,-2.0%
0.575,0.55,0.6,1.366,0.019,-0.019,0.139,-0.139,2.0%,-2.0%
0.625,0.6,0.65,1.278,0.017,-0.017,0.111,-0.111,2.0%,-2.0%
0.675,0.65,0.7,1.268,0.023,-0.023,0.106,-0.106,2.0%,-2.0%
0.725,0.7,0.75,1.294,0.023,-0.023,0.11,-0.11,2.0%,-2.0%
0.775,0.75,0.8,1.223,0.021,-0.021,0.109,-0.109,2.0%,-2.0%
0.825,0.8,0.85,1.173,0.021,-0.021,0.083,-0.083,2.0%,-2.0%
0.875,0.85,0.9,1.116,0.02,-0.02,0.075,-0.075,2.0%,-2.0%
0.925,0.9,0.95,1.06,0.02,-0.02,0.07,-0.07,2.0%,-2.0%
0.975,0.95,1.0,1.016,0.02,-0.02,0.066,-0.066,2.0%,-2.0%
1.05,1.0,1.1,0.9198,0.0131,-0.0131,0.0603,-0.0603,2.0%,-2.0%
1.15,1.1,1.2,0.8086,0.0125,-0.0125,0.0508,-0.0508,2.0%,-2.0%
1.25,1.2,1.3,0.6981,0.0117,-0.0117,0.0425,-0.0425,2.0%,-2.0%
1.35,1.3,1.4,0.6018,0.0109,-0.0109,0.0358,-0.0358,2.0%,-2.0%
1.45,1.4,1.5,0.5057,0.0098,-0.0098,0.0305,-0.0305,2.0%,-2.0%
1.55,1.5,1.6,0.4346,0.0092,-0.0092,0.0254,-0.0254,2.0%,-2.0%
1.65,1.6,1.7,0.3546,0.0082,-0.0082,0.0206,-0.0206,2.0%,-2.0%
1.75,1.7,1.8,0.2983,0.0075,-0.0075,0.0176,-0.0176,2.0%,-2.0%
1.85,1.8,1.9,0.2434,0.0049,-0.0049,0.0194,-0.0194,2.0%,-2.0%
1.95,1.9,2.0,0.1945,0.0041,-0.0041,0.0157,-0.0157,2.0%,-2.0%
2.05,2.0,2.1,0.1626,0.0037,-0.0037,0.0134,-0.0134,2.0%,-2.0%
2.1500000000000004,2.1,2.2,0.1343,0.0034,-0.0034,0.0113,-0.0113,2.0%,-2.0%
2.25,2.2,2.3,0.1089,0.003,-0.003,0.0093,-0.0093,2.0%,-2.0%
2.3499999999999996,2.3,2.4,0.08497,0.00239,-0.00239,0.00747,-0.00747,2.0%,-2.0%
2.45,2.4,2.5,0.06773,0.00206,-0.00206,0.00612,-0.00612,2.0%,-2.0%
2.55,2.5,2.6,0.05607,0.00183,-0.00183,0.00522,-0.00522,2.0%,-2.0%
2.6500000000000004,2.6,2.7,0.04453,0.00155,-0.00155,0.00428,-0.00428,2.0%,-2.0%
2.75,2.7,2.8,0.03482,0.00126,-0.00126,0.00346,-0.00346,2.0%,-2.0%
2.8499999999999996,2.8,2.9,0.0312,0.0013,-0.0013,0.00321,-0.00321,2.0%,-2.0%
2.95,2.9,3.0,0.02224,0.00091,-0.00091,0.00238,-0.00238,2.0%,-2.0%
3.1,3.0,3.2,0.01672,0.00054,-0.00054,0.00189,-0.00189,2.0%,-2.0%
3.3,3.2,3.4,0.0117,0.00045,-0.00045,0.00144,-0.00144,2.0%,-2.0%
3.5,3.4,3.6,0.007596,0.00033,-0.00033,0.001015,-0.001015,2.0%,-2.0%
3.7,3.6,3.8,0.004732,0.000227,-0.000227,0.000689,-0.000689,2.0%,-2.0%
3.9,3.8,4.0,0.003412,0.000183,-0.000183,0.000542,-0.000542,2.0%,-2.0%
4.1,4.0,4.2,0.00204,0.000124,-0.000124,0.000354,-0.000354,2.0%,-2.0%
4.300000000000001,4.2,4.4,0.001548,0.000113,-0.000113,0.000293,-0.000293,2.0%,-2.0%
4.5,4.4,4.6,0.000942,7.5e-05,-7.5e-05,0.0001941,-0.0001941,2.0%,-2.0%

