#: table_doi: 10.17182/hepdata.110161.v1/t44
#: name: Table 44
#: description: $p_{T}$-distributions of protons ($p+pbar$)/pions ($\pi^{+}+\pi^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 40-50%.
#: data_file: table_44.yaml
#: keyword observables: RATIO
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> P X | XE XE --> PBAR X | XE XE --> PI+ X | XE XE --> PI- X
#: CENTRALITY [pct],,,40.0-50.0
#: RE(P + PBAR),,,XE XE --> P X, XE XE --> PBAR X
#: RE(PI+ + PI-),,,XE XE --> PI+ X, XE XE --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(p+pbar)/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -
0.32499999999999996,0.3,0.35,0.011809,0.00026821,-0.00026821,0.0027378,-0.0027378
0.375,0.35,0.4,0.015341,0.00028032,-0.00028032,0.003001,-0.003001
0.42500000000000004,0.4,0.45,0.022687,0.00037633,-0.00037633,0.0041237,-0.0041237
0.475,0.45,0.5,0.029672,0.00044132,-0.00044132,0.0050656,-0.0050656
0.525,0.5,0.55,0.037587,0.0005272,-0.0005272,0.006023,-0.006023
0.575,0.55,0.6,0.037374,0.00050719,-0.00050719,0.0037074,-0.0037074
0.625,0.6,0.65,0.042687,0.00051418,-0.00051418,0.0062173,-0.0062173
0.675,0.65,0.7,0.050222,0.00075111,-0.00075111,0.0080738,-0.0080738
0.725,0.7,0.75,0.058787,0.00095563,-0.00095563,0.0094516,-0.0094516
0.775,0.75,0.8,0.066979,0.0012598,-0.0012598,0.0098497,-0.0098497
0.825,0.8,0.85,0.07485,0.001418,-0.001418,0.0097011,-0.0097011
0.875,0.85,0.9,0.086018,0.0017622,-0.0017622,0.011821,-0.011821
0.925,0.9,0.95,0.094236,0.0019733,-0.0019733,0.01288,-0.01288
0.975,0.95,1.0,0.10839,0.0021447,-0.0021447,0.013937,-0.013937
1.05,1.0,1.1,0.12682,0.0018785,-0.0018785,0.015189,-0.015189
1.15,1.1,1.2,0.15377,0.0024211,-0.0024211,0.016255,-0.016255
1.25,1.2,1.3,0.17523,0.002907,-0.002907,0.016424,-0.016424
1.35,1.3,1.4,0.21445,0.0038928,-0.0038928,0.0185,-0.0185
1.45,1.4,1.5,0.24043,0.0047515,-0.0047515,0.021074,-0.021074
1.55,1.5,1.6,0.27822,0.0060071,-0.0060071,0.025921,-0.025921
1.65,1.6,1.7,0.28805,0.0063158,-0.0063158,0.027253,-0.027253
1.75,1.7,1.8,0.32738,0.0077921,-0.0077921,0.031303,-0.031303
1.85,1.8,1.9,0.35741,0.0094399,-0.0094399,0.037159,-0.037159
1.95,1.9,2.0,0.39149,0.010731,-0.010731,0.046462,-0.046462
2.1,2.0,2.2,0.41218,0.0087867,-0.0087867,0.052407,-0.052407
2.3,2.2,2.4,0.45846,0.010974,-0.010974,0.059504,-0.059504
2.5,2.4,2.6,0.45957,0.012095,-0.012095,0.063968,-0.063968
2.7,2.6,2.8,0.46696,0.013796,-0.013796,0.069983,-0.069983
2.9,2.8,3.0,0.47762,0.015802,-0.015802,0.066647,-0.066647
3.1,3.0,3.2,0.51631,0.020338,-0.020338,0.064286,-0.064286
3.3,3.2,3.4,0.47744,0.020347,-0.020347,0.057505,-0.057505
3.5,3.4,3.6,0.46418,0.022175,-0.022175,0.064168,-0.064168
3.7,3.6,3.8,0.4097,0.021115,-0.021115,0.062609,-0.062609
3.9,3.8,4.0,0.39626,0.024243,-0.024243,0.073127,-0.073127
4.25,4.0,4.5,0.39484,0.019374,-0.019374,0.081335,-0.081335
4.75,4.5,5.0,0.32484,0.023017,-0.023017,0.078887,-0.078887

