#: table_doi: 10.17182/hepdata.110161.v1/t31
#: name: Table 31
#: description: $p_{T}$-distributions of phi ($\phi$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 50-70%.
#: data_file: table_31.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> PHI X
#: CENTRALITY [pct],,,50.0-70.0
#: RE,,,XE XE --> PHI X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.6,0.5,0.7,0.62446,0.084617,-0.084617,0.068694,-0.068694
0.8,0.7,0.9,0.51412,0.041014,-0.041014,0.056059,-0.056059
1.0,0.9,1.1,0.51247,0.029728,-0.029728,0.055475,-0.055475
1.2000000000000002,1.1,1.3,0.36016,0.019976,-0.019976,0.038905,-0.038905
1.4,1.3,1.5,0.33552,0.023302,-0.023302,0.036335,-0.036335
1.75,1.5,2.0,0.22076,0.013339,-0.013339,0.024329,-0.024329
2.5,2.0,3.0,0.079475,0.0050441,-0.0050441,0.0086154,-0.0086154
3.5,3.0,4.0,0.022674,0.0016449,-0.0016449,0.0041033,-0.0041033
4.5,4.0,5.0,0.0073502,0.00072786,-0.00072786,0.0013087,-0.0013087
6.0,5.0,7.0,0.0019238,0.00026633,-0.00026633,0.00033351,-0.00033351
8.5,7.0,10.0,0.00027439,7.5806e-05,-7.5806e-05,1.9203e-05,-1.9203e-05

