#: table_doi: 10.17182/hepdata.110161.v1/t26
#: name: Table 26
#: description: $p_{T}$-distributions of kaons ($K^{+}+K^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 70-90%.
#: data_file: table_26.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> K+ X | XE XE --> K- X
#: CENTRALITY [pct],,,70.0-90.0
#: RE,,,XE XE --> K+ X, XE XE --> K- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.225,0.2,0.25,2.6699,0.032692,-0.032692,0.21855,-0.21855
0.275,0.25,0.3,3.0392,0.062429,-0.062429,0.098906,-0.098906
0.32499999999999996,0.3,0.35,3.0095,0.031625,-0.031625,0.20144,-0.20144
0.375,0.35,0.4,3.0445,0.031903,-0.031903,0.1868,-0.1868
0.42500000000000004,0.4,0.45,3.0485,0.032157,-0.032157,0.19461,-0.19461
0.475,0.45,0.5,3.0595,0.064928,-0.064928,0.37411,-0.37411
0.525,0.5,0.55,2.9273,0.063787,-0.063787,0.28852,-0.28852
0.575,0.55,0.6,2.8117,0.063171,-0.063171,0.32177,-0.32177
0.625,0.6,0.65,2.6351,0.062229,-0.062229,0.24585,-0.24585
0.675,0.65,0.7,2.3731,0.061179,-0.061179,0.22186,-0.22186
0.725,0.7,0.75,2.2814,0.064739,-0.064739,0.17345,-0.17345
0.775,0.75,0.8,2.0868,0.062563,-0.062563,0.1511,-0.1511
0.825,0.8,0.85,1.8618,0.058247,-0.058247,0.15275,-0.15275
0.875,0.85,0.9,1.7803,0.057415,-0.057415,0.15449,-0.15449
0.925,0.9,0.95,1.5766,0.053244,-0.053244,0.16171,-0.16171
0.975,0.95,1.0,1.419,0.051322,-0.051322,0.12576,-0.12576
1.05,1.0,1.1,1.2086,0.033899,-0.033899,0.10229,-0.10229
1.15,1.1,1.2,1.0005,0.030781,-0.030781,0.096078,-0.096078
1.25,1.2,1.3,0.80852,0.028144,-0.028144,0.053125,-0.053125
1.35,1.3,1.4,0.67556,0.025941,-0.025941,0.063785,-0.063785
1.45,1.4,1.5,0.56524,0.024961,-0.024961,0.041441,-0.041441
1.55,1.5,1.6,0.46526,0.0214,-0.0214,0.04181,-0.04181
1.65,1.6,1.7,0.36659,0.018859,-0.018859,0.024743,-0.024743
1.75,1.7,1.8,0.33977,0.020498,-0.020498,0.038048,-0.038048
1.85,1.8,1.9,0.26932,0.017786,-0.017786,0.027514,-0.027514
1.95,1.9,2.0,0.20821,0.017596,-0.017596,0.019889,-0.019889
2.1,2.0,2.2,0.17125,0.010293,-0.010293,0.011986,-0.011986
2.3,2.2,2.4,0.1056,0.0086027,-0.0086027,0.012332,-0.012332
2.5,2.4,2.6,0.078438,0.0072319,-0.0072319,0.010748,-0.010748
2.7,2.6,2.8,0.06601,0.0082386,-0.0082386,0.014855,-0.014855
2.9,2.8,3.0,0.048458,0.0072796,-0.0072796,0.0080629,-0.0080629
3.1,3.0,3.2,0.026055,0.0046993,-0.0046993,0.0025381,-0.0025381
3.3,3.2,3.4,0.022281,0.0053284,-0.0053284,0.0035705,-0.0035705
3.5,3.4,3.6,0.020613,0.0048951,-0.0048951,0.0042586,-0.0042586
3.7,3.6,3.8,0.015463,0.0043228,-0.0043228,0.0015575,-0.0015575
3.9,3.8,4.0,0.013618,0.0046883,-0.0046883,0.0033993,-0.0033993
4.25,4.0,4.5,0.0073701,0.002585,-0.002585,0.00073701,-0.00073701

