#: table_doi: 10.17182/hepdata.110161.v1/t3
#: name: Table 3
#: description: $p_{T}$-distributions of protons ($p+pbar$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 0-5%.
#: data_file: table_3.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> P X | XE XE --> PBAR X
#: CENTRALITY [pct],,,0.0-5.0
#: RE,,,XE XE --> P X, XE XE --> PBAR X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.32499999999999996,0.3,0.35,11.251,0.22678,-0.22678,2.516,-2.516
0.375,0.35,0.4,13.022,0.2078,-0.2078,2.2422,-2.2422
0.42500000000000004,0.4,0.45,17.083,0.24066,-0.24066,2.5127,-2.5127
0.475,0.45,0.5,19.449,0.23413,-0.23413,2.4938,-2.4938
0.525,0.5,0.55,21.994,0.24252,-0.24252,2.4122,-2.4122
0.575,0.55,0.6,19.369,0.24838,-0.24838,1.5704,-1.5704
0.625,0.6,0.65,20.339,0.21107,-0.21107,2.8558,-2.8558
0.675,0.65,0.7,21.501,0.22344,-0.22344,3.6812,-3.6812
0.725,0.7,0.75,21.924,0.22651,-0.22651,3.8055,-3.8055
0.775,0.75,0.8,21.888,0.23624,-0.23624,3.0358,-3.0358
0.825,0.8,0.85,22.458,0.23554,-0.23554,2.6698,-2.6698
0.875,0.85,0.9,23.146,0.23819,-0.23819,2.6246,-2.6246
0.925,0.9,0.95,23.72,0.244,-0.244,2.6594,-2.6594
0.975,0.95,1.0,23.84,0.24825,-0.24825,2.7283,-2.7283
1.05,1.0,1.1,24.059,0.17896,-0.17896,2.5015,-2.5015
1.15,1.1,1.2,24.861,0.18687,-0.18687,2.1759,-2.1759
1.25,1.2,1.3,24.582,0.19383,-0.19383,1.8145,-1.8145
1.35,1.3,1.4,25.018,0.20015,-0.20015,1.6081,-1.6081
1.45,1.4,1.5,23.575,0.19813,-0.19813,1.5642,-1.5642
1.55,1.5,1.6,22.252,0.19837,-0.19837,1.5975,-1.5975
1.65,1.6,1.7,20.618,0.19454,-0.19454,1.3688,-1.3688
1.75,1.7,1.8,18.529,0.18135,-0.18135,0.98631,-0.98631
1.85,1.8,1.9,17.203,0.18004,-0.18004,0.79797,-0.79797
1.95,1.9,2.0,15.132,0.16783,-0.16783,0.74214,-0.74214
2.1,2.0,2.2,12.407,0.10435,-0.10435,0.6362,-0.6362
2.3,2.2,2.4,9.4353,0.088487,-0.088487,0.59023,-0.59023
2.5,2.4,2.6,6.9083,0.072692,-0.072692,0.62384,-0.62384
2.7,2.6,2.8,4.9924,0.060077,-0.060077,0.54561,-0.54561
2.9,2.8,3.0,3.5705,0.047912,-0.047912,0.33045,-0.33045
3.1,3.0,3.2,2.5631,0.039787,-0.039787,0.16367,-0.16367
3.3,3.2,3.4,1.8787,0.033184,-0.033184,0.095037,-0.095037
3.5,3.4,3.6,1.2555,0.024935,-0.024935,0.064911,-0.064911
3.7,3.6,3.8,0.89237,0.020979,-0.020979,0.049736,-0.049736
3.9,3.8,4.0,0.59505,0.016775,-0.016775,0.041193,-0.041193
4.25,4.0,4.5,0.34571,0.0077485,-0.0077485,0.024781,-0.024781
4.75,4.5,5.0,0.13921,0.0066741,-0.0066741,0.014643,-0.014643

