#: table_doi: 10.17182/hepdata.110161.v1/t9
#: name: Table 9
#: description: $p_{T}$-distributions of protons ($p+pbar$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 10-20%.
#: data_file: table_9.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> P X | XE XE --> PBAR X
#: CENTRALITY [pct],,,10.0-20.0
#: RE,,,XE XE --> P X, XE XE --> PBAR X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.32499999999999996,0.3,0.35,7.3766,0.11123,-0.11123,1.6731,-1.6731
0.375,0.35,0.4,8.679,0.10884,-0.10884,1.4954,-1.4954
0.42500000000000004,0.4,0.45,11.458,0.12848,-0.12848,1.6576,-1.6576
0.475,0.45,0.5,13.069,0.12498,-0.12498,1.6776,-1.6776
0.525,0.5,0.55,14.703,0.12874,-0.12874,1.631,-1.631
0.575,0.55,0.6,12.434,0.1146,-0.1146,1.2592,-1.2592
0.625,0.6,0.65,12.914,0.093668,-0.093668,1.7787,-1.7787
0.675,0.65,0.7,13.538,0.11432,-0.11432,2.2195,-2.2195
0.725,0.7,0.75,14.179,0.12486,-0.12486,2.3012,-2.3012
0.775,0.75,0.8,14.415,0.14356,-0.14356,1.9762,-1.9762
0.825,0.8,0.85,14.962,0.14842,-0.14842,1.7543,-1.7543
0.875,0.85,0.9,15.319,0.15226,-0.15226,1.7278,-1.7278
0.925,0.9,0.95,15.842,0.16209,-0.16209,1.7792,-1.7792
0.975,0.95,1.0,15.801,0.1642,-0.1642,1.8028,-1.8028
1.05,1.0,1.1,16.185,0.12483,-0.12483,1.6799,-1.6799
1.15,1.1,1.2,16.448,0.13297,-0.13297,1.4437,-1.4437
1.25,1.2,1.3,16.245,0.14078,-0.14078,1.1955,-1.1955
1.35,1.3,1.4,15.923,0.14881,-0.14881,1.032,-1.032
1.45,1.4,1.5,14.537,0.14129,-0.14129,0.96194,-0.96194
1.55,1.5,1.6,13.421,0.13625,-0.13625,0.96405,-0.96405
1.65,1.6,1.7,12.445,0.13686,-0.13686,0.82468,-0.82468
1.75,1.7,1.8,11.367,0.13168,-0.13168,0.60717,-0.60717
1.85,1.8,1.9,10.195,0.12443,-0.12443,0.47519,-0.47519
1.95,1.9,2.0,9.0782,0.11899,-0.11899,0.44712,-0.44712
2.1,2.0,2.2,7.4601,0.074675,-0.074675,0.3845,-0.3845
2.3,2.2,2.4,5.579,0.062238,-0.062238,0.35124,-0.35124
2.5,2.4,2.6,4.1456,0.051866,-0.051866,0.37434,-0.37434
2.7,2.6,2.8,2.9842,0.042548,-0.042548,0.32733,-0.32733
2.9,2.8,3.0,2.1299,0.03351,-0.03351,0.19868,-0.19868
3.1,3.0,3.2,1.5352,0.027173,-0.027173,0.098443,-0.098443
3.3,3.2,3.4,1.1015,0.022512,-0.022512,0.055728,-0.055728
3.5,3.4,3.6,0.75636,0.016866,-0.016866,0.039161,-0.039161
3.7,3.6,3.8,0.53622,0.013412,-0.013412,0.029895,-0.029895
3.9,3.8,4.0,0.39448,0.011501,-0.011501,0.027336,-0.027336
4.25,4.0,4.5,0.21444,0.0049511,-0.0049511,0.015323,-0.015323
4.75,4.5,5.0,0.093883,0.0029562,-0.0029562,0.009875,-0.009875

