#: table_doi: 10.17182/hepdata.110161.v1/t18
#: name: Table 18
#: description: $p_{T}$-distributions of protons ($p+pbar$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 40-50%.
#: data_file: table_18.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> P X | XE XE --> PBAR X
#: CENTRALITY [pct],,,40.0-50.0
#: RE,,,XE XE --> P X, XE XE --> PBAR X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.32499999999999996,0.3,0.35,2.8584,0.064567,-0.064567,0.63817,-0.63817
0.375,0.35,0.4,3.3657,0.060915,-0.060915,0.58408,-0.58408
0.42500000000000004,0.4,0.45,4.462,0.072962,-0.072962,0.65631,-0.65631
0.475,0.45,0.5,5.128,0.073944,-0.073944,0.67577,-0.67577
0.525,0.5,0.55,5.7495,0.077397,-0.077397,0.64559,-0.64559
0.575,0.55,0.6,5.0715,0.068813,-0.068813,0.38635,-0.38635
0.625,0.6,0.65,5.1791,0.055949,-0.055949,0.72045,-0.72045
0.675,0.65,0.7,5.4414,0.075034,-0.075034,0.84034,-0.84034
0.725,0.7,0.75,5.6056,0.083337,-0.083337,0.84007,-0.84007
0.775,0.75,0.8,5.6623,0.097506,-0.097506,0.78316,-0.78316
0.825,0.8,0.85,5.6443,0.095335,-0.095335,0.6618,-0.6618
0.875,0.85,0.9,5.8296,0.10534,-0.10534,0.66908,-0.66908
0.925,0.9,0.95,5.763,0.10226,-0.10226,0.64363,-0.64363
0.975,0.95,1.0,5.6786,0.10576,-0.10576,0.6542,-0.6542
1.05,1.0,1.1,5.5692,0.077298,-0.077298,0.58017,-0.58017
1.15,1.1,1.2,5.3903,0.078896,-0.078896,0.4721,-0.4721
1.25,1.2,1.3,4.8689,0.074456,-0.074456,0.35775,-0.35775
1.35,1.3,1.4,4.6953,0.078457,-0.078457,0.30148,-0.30148
1.45,1.4,1.5,4.2082,0.076305,-0.076305,0.27895,-0.27895
1.55,1.5,1.6,3.8883,0.076942,-0.076942,0.27926,-0.27926
1.65,1.6,1.7,3.2569,0.064649,-0.064649,0.21695,-0.21695
1.75,1.7,1.8,2.9308,0.063172,-0.063172,0.15785,-0.15785
1.85,1.8,1.9,2.6756,0.064087,-0.064087,0.12505,-0.12505
1.95,1.9,2.0,2.3212,0.057379,-0.057379,0.11397,-0.11397
2.1,2.0,2.2,1.8222,0.034955,-0.034955,0.093237,-0.093237
2.3,2.2,2.4,1.3596,0.029086,-0.029086,0.085524,-0.085524
2.5,2.4,2.6,0.94005,0.02191,-0.02191,0.085797,-0.085797
2.7,2.6,2.8,0.67166,0.017408,-0.017408,0.074838,-0.074838
2.9,2.8,3.0,0.48438,0.01398,-0.01398,0.04606,-0.04606
3.1,3.0,3.2,0.38769,0.013449,-0.013449,0.02485,-0.02485
3.3,3.2,3.4,0.26107,0.0096872,-0.0096872,0.01303,-0.01303
3.5,3.4,3.6,0.18618,0.0076709,-0.0076709,0.009558,-0.009558
3.7,3.6,3.8,0.12906,0.0056052,-0.0056052,0.0071989,-0.0071989
3.9,3.8,4.0,0.093419,0.0048399,-0.0048399,0.0064788,-0.0064788
4.25,4.0,4.5,0.057891,0.0024065,-0.0024065,0.0041164,-0.0041164
4.75,4.5,5.0,0.027419,0.0016582,-0.0016582,0.0028839,-0.0028839

