#: table_doi: 10.17182/hepdata.110161.v1/t30
#: name: Table 30
#: description: $p_{T}$-distributions of phi ($\phi$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 30-50%.
#: data_file: table_30.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> PHI X
#: CENTRALITY [pct],,,30.0-50.0
#: RE,,,XE XE --> PHI X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.6,0.5,0.7,1.3134,0.21247,-0.21247,0.11376,-0.11376
0.8,0.7,0.9,1.2715,0.094839,-0.094839,0.10869,-0.10869
1.0,0.9,1.1,1.4378,0.072397,-0.072397,0.16044,-0.16044
1.2000000000000002,1.1,1.3,1.242,0.06324,-0.06324,0.13827,-0.13827
1.4,1.3,1.5,1.0212,0.058969,-0.058969,0.1149,-0.1149
1.75,1.5,2.0,0.71851,0.037197,-0.037197,0.10722,-0.10722
2.5,2.0,3.0,0.30669,0.014382,-0.014382,0.045582,-0.045582
3.5,3.0,4.0,0.077113,0.0046348,-0.0046348,0.012713,-0.012713
4.5,4.0,5.0,0.022832,0.0017147,-0.0017147,0.0036888,-0.0036888
6.0,5.0,7.0,0.0042135,0.00045849,-0.00045849,0.00065902,-0.00065902
8.5,7.0,10.0,0.00079009,0.00013121,-0.00013121,5.8961e-05,-5.8961e-05

