#: table_doi: 10.17182/hepdata.110161.v1/t48
#: name: Table 48
#: description: $p_{T}$-distributions of protons ($p+pbar$)/pions ($\pi^{+}+\pi^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 60-70%.
#: data_file: table_48.yaml
#: keyword observables: RATIO
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> P X | XE XE --> PBAR X | XE XE --> PI+ X | XE XE --> PI- X
#: CENTRALITY [pct],,,60.0-70.0
#: RE(P + PBAR),,,XE XE --> P X, XE XE --> PBAR X
#: RE(PI+ + PI-),,,XE XE --> PI+ X, XE XE --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(p+pbar)/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -
0.32499999999999996,0.3,0.35,0.016278,0.00054578,-0.00054578,0.0037715,-0.0037715
0.375,0.35,0.4,0.020358,0.00059178,-0.00059178,0.0038251,-0.0038251
0.42500000000000004,0.4,0.45,0.029888,0.00079066,-0.00079066,0.0051818,-0.0051818
0.475,0.45,0.5,0.038999,0.00087339,-0.00087339,0.006363,-0.006363
0.525,0.5,0.55,0.049039,0.001044,-0.001044,0.0076049,-0.0076049
0.575,0.55,0.6,0.049018,0.0010798,-0.0010798,0.0052017,-0.0052017
0.625,0.6,0.65,0.0568,0.0011022,-0.0011022,0.0086281,-0.0086281
0.675,0.65,0.7,0.070534,0.001756,-0.001756,0.011191,-0.011191
0.725,0.7,0.75,0.078519,0.0020425,-0.0020425,0.011935,-0.011935
0.775,0.75,0.8,0.089407,0.0027915,-0.0027915,0.013016,-0.013016
0.825,0.8,0.85,0.099687,0.0033079,-0.0033079,0.013142,-0.013142
0.875,0.85,0.9,0.10728,0.0036988,-0.0036988,0.014662,-0.014662
0.925,0.9,0.95,0.11603,0.004144,-0.004144,0.014088,-0.014088
0.975,0.95,1.0,0.12622,0.0040395,-0.0040395,0.016028,-0.016028
1.05,1.0,1.1,0.14857,0.0037396,-0.0037396,0.017753,-0.017753
1.15,1.1,1.2,0.17493,0.0048564,-0.0048564,0.018557,-0.018557
1.25,1.2,1.3,0.18849,0.0053588,-0.0053588,0.01765,-0.01765
1.35,1.3,1.4,0.22378,0.0070385,-0.0070385,0.019386,-0.019386
1.45,1.4,1.5,0.2289,0.0077082,-0.0077082,0.020045,-0.020045
1.55,1.5,1.6,0.27311,0.010351,-0.010351,0.025418,-0.025418
1.65,1.6,1.7,0.28436,0.011392,-0.011392,0.026811,-0.026811
1.75,1.7,1.8,0.31667,0.013194,-0.013194,0.030074,-0.030074
1.85,1.8,1.9,0.32816,0.014974,-0.014974,0.034099,-0.034099
1.95,1.9,2.0,0.34861,0.016853,-0.016853,0.041468,-0.041468
2.1,2.0,2.2,0.36392,0.013847,-0.013847,0.046286,-0.046286
2.3,2.2,2.4,0.3936,0.01702,-0.01702,0.051253,-0.051253
2.5,2.4,2.6,0.37841,0.018038,-0.018038,0.052227,-0.052227
2.7,2.6,2.8,0.4181,0.022679,-0.022679,0.062394,-0.062394
2.9,2.8,3.0,0.3937,0.022964,-0.022964,0.054147,-0.054147
3.1,3.0,3.2,0.47816,0.034639,-0.034639,0.059606,-0.059606
3.3,3.2,3.4,0.37752,0.028326,-0.028326,0.045581,-0.045581
3.5,3.4,3.6,0.38711,0.036728,-0.036728,0.053611,-0.053611
3.7,3.6,3.8,0.38458,0.038397,-0.038397,0.059016,-0.059016
3.9,3.8,4.0,0.41549,0.050457,-0.050457,0.076472,-0.076472
4.25,4.0,4.5,0.34651,0.032254,-0.032254,0.071528,-0.071528
4.75,4.5,5.0,0.29821,0.038063,-0.038063,0.072499,-0.072499

