#: table_doi: 10.17182/hepdata.110161.v1/t54
#: name: Table 54
#: description: $p_{T}$-distributions of phi ($\phi$)/protons ($p+pbar$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 50-70%.
#: data_file: table_54.yaml
#: keyword observables: RATIO
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> PHI X | XE XE --> P X | XE XE --> PBAR X
#: CENTRALITY [pct],,,50.0-70.0
#: RE(PHI),,,XE XE --> PHI X
#: RE(P + PBAR),,,XE XE --> P X, XE XE --> PBAR X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$phi/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -
0.6,0.5,0.7,4.7249,0.64091,-0.64091,0.52059,-0.52059
0.8,0.7,0.9,5.8467,0.469,-0.469,0.63941,-0.63941
1.0,0.9,1.1,5.3348,0.31354,-0.31354,0.57969,-0.57969
1.2000000000000002,1.1,1.3,6.684,0.37801,-0.37801,0.72578,-0.72578
1.4,1.3,1.5,5.7684,0.40724,-0.40724,0.62895,-0.62895
1.75,1.5,2.0,5.7121,0.35001,-0.35001,0.63218,-0.63218
2.5,2.0,3.0,5.3624,0.3454,-0.3454,0.58428,-0.58428
3.5,3.0,4.0,3.9695,0.29899,-0.29899,0.72283,-0.72283
4.5,4.0,5.0,2.7814,0.2952,-0.2952,0.5065,-0.5065

