#: table_doi: 10.17182/hepdata.110161.v1/t23
#: name: Table 23
#: description: $p_{T}$-distributions of kaons ($K^{+}+K^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 60-70%.
#: data_file: table_23.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> K+ X | XE XE --> K- X
#: CENTRALITY [pct],,,60.0-70.0
#: RE,,,XE XE --> K+ X, XE XE --> K- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.225,0.2,0.25,6.9152,0.075226,-0.075226,0.47891,-0.47891
0.275,0.25,0.3,8.7685,0.16397,-0.16397,0.52845,-0.52845
0.32499999999999996,0.3,0.35,8.3523,0.069848,-0.069848,0.58519,-0.58519
0.375,0.35,0.4,8.4309,0.069516,-0.069516,0.50615,-0.50615
0.42500000000000004,0.4,0.45,8.6021,0.068872,-0.068872,0.52488,-0.52488
0.475,0.45,0.5,8.5787,0.15744,-0.15744,1.0691,-1.0691
0.525,0.5,0.55,8.1535,0.15317,-0.15317,0.87805,-0.87805
0.575,0.55,0.6,8.0202,0.1533,-0.1533,0.77975,-0.77975
0.625,0.6,0.65,7.5737,0.15206,-0.15206,0.75397,-0.75397
0.675,0.65,0.7,7.2252,0.15592,-0.15592,0.62753,-0.62753
0.725,0.7,0.75,6.9319,0.16676,-0.16676,0.5211,-0.5211
0.775,0.75,0.8,6.4168,0.16242,-0.16242,0.4559,-0.4559
0.825,0.8,0.85,5.8994,0.15578,-0.15578,0.51632,-0.51632
0.875,0.85,0.9,5.6014,0.15442,-0.15442,0.53701,-0.53701
0.925,0.9,0.95,5.063,0.14253,-0.14253,0.4384,-0.4384
0.975,0.95,1.0,4.4555,0.13358,-0.13358,0.39296,-0.39296
1.05,1.0,1.1,4.1143,0.094262,-0.094262,0.39692,-0.39692
1.15,1.1,1.2,3.389,0.0898,-0.0898,0.22824,-0.22824
1.25,1.2,1.3,2.7293,0.078691,-0.078691,0.17706,-0.17706
1.35,1.3,1.4,2.2137,0.07188,-0.07188,0.16619,-0.16619
1.45,1.4,1.5,1.8516,0.066596,-0.066596,0.13554,-0.13554
1.55,1.5,1.6,1.5967,0.062589,-0.062589,0.093912,-0.093912
1.65,1.6,1.7,1.2354,0.051393,-0.051393,0.071573,-0.071573
1.75,1.7,1.8,1.0377,0.052113,-0.052113,0.077386,-0.077386
1.85,1.8,1.9,0.89401,0.048666,-0.048666,0.065871,-0.065871
1.95,1.9,2.0,0.85598,0.056307,-0.056307,0.12532,-0.12532
2.1,2.0,2.2,0.58566,0.02703,-0.02703,0.047317,-0.047317
2.3,2.2,2.4,0.3937,0.02475,-0.02475,0.033055,-0.033055
2.5,2.4,2.6,0.28118,0.020563,-0.020563,0.046148,-0.046148
2.7,2.6,2.8,0.20898,0.020121,-0.020121,0.034655,-0.034655
2.9,2.8,3.0,0.14605,0.016512,-0.016512,0.025495,-0.025495
3.1,3.0,3.2,0.1071,0.012747,-0.012747,0.015234,-0.015234
3.3,3.2,3.4,0.069434,0.012927,-0.012927,0.0081039,-0.0081039
3.5,3.4,3.6,0.047243,0.010783,-0.010783,0.0061394,-0.0061394
3.7,3.6,3.8,0.039516,0.0095181,-0.0095181,0.0037653,-0.0037653
3.9,3.8,4.0,0.043322,0.011015,-0.011015,0.0093995,-0.0093995
4.25,4.0,4.5,0.022823,0.0057528,-0.0057528,0.0022823,-0.0022823

