#: table_doi: 10.17182/hepdata.110161.v1/t19
#: name: Table 19
#: description: $p_{T}$-distributions of pions ($\pi^{+}+\pi^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 50-60%.
#: data_file: table_19.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> PI+ X | XE XE --> PI- X
#: CENTRALITY [pct],,,50.0-60.0
#: RE,,,XE XE --> PI+ X, XE XE --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.065,0.05,0.08,133.55,1.0428,-1.0428,15.466,-15.466
0.09,0.08,0.1,160.91,0.55964,-0.55964,16.527,-16.527
0.13,0.1,0.16,181.03,0.21793,-0.21793,7.1536,-7.1536
0.18,0.16,0.2,187.55,0.25145,-0.25145,9.1455,-9.1455
0.225,0.2,0.25,179.62,0.25747,-0.25747,11.23,-11.23
0.275,0.25,0.3,163.89,0.23782,-0.23782,10.817,-10.817
0.32499999999999996,0.3,0.35,148.98,0.44896,-0.44896,8.8936,-8.8936
0.375,0.35,0.4,133.73,0.43473,-0.43473,7.6002,-7.6002
0.42500000000000004,0.4,0.45,119.02,0.42922,-0.42922,6.467,-6.467
0.475,0.45,0.5,103.56,0.47722,-0.47722,3.7388,-3.7388
0.525,0.5,0.55,91.487,0.4529,-0.4529,3.7221,-3.7221
0.575,0.55,0.6,79.898,0.44223,-0.44223,3.9992,-3.9992
0.625,0.6,0.65,71.271,0.48882,-0.48882,2.5501,-2.5501
0.675,0.65,0.7,63.11,0.46624,-0.46624,3.4768,-3.4768
0.725,0.7,0.75,55.787,0.47721,-0.47721,2.482,-2.482
0.775,0.75,0.8,48.978,0.47533,-0.47533,2.6741,-2.6741
0.825,0.8,0.85,43.16,0.47539,-0.47539,2.8075,-2.8075
0.875,0.85,0.9,38.4,0.49264,-0.49264,2.001,-2.001
0.925,0.9,0.95,34.333,0.50017,-0.50017,2.3696,-2.3696
0.975,0.95,1.0,29.652,0.25465,-0.25465,1.6928,-1.6928
1.05,1.0,1.1,25.22,0.1693,-0.1693,1.4899,-1.4899
1.15,1.1,1.2,19.626,0.14616,-0.14616,1.1619,-1.1619
1.25,1.2,1.3,15.749,0.13264,-0.13264,0.91648,-0.91648
1.35,1.3,1.4,12.397,0.1148,-0.1148,0.71426,-0.71426
1.45,1.4,1.5,10.009,0.10376,-0.10376,0.57382,-0.57382
1.55,1.5,1.6,7.9215,0.089398,-0.089398,0.47096,-0.47096
1.65,1.6,1.7,6.4003,0.07848,-0.07848,0.43117,-0.43117
1.75,1.7,1.8,5.1134,0.067199,-0.067199,0.40394,-0.40394
1.85,1.8,1.9,4.0573,0.057289,-0.057289,0.37691,-0.37691
1.95,1.9,2.0,3.3027,0.050059,-0.050059,0.35748,-0.35748
2.1,2.0,2.2,2.5224,0.030869,-0.030869,0.29371,-0.29371
2.3,2.2,2.4,1.7656,0.02509,-0.02509,0.19978,-0.19978
2.5,2.4,2.6,1.1702,0.018801,-0.018801,0.123,-0.123
2.7,2.6,2.8,0.86131,0.016078,-0.016078,0.086311,-0.086311
2.9,2.8,3.0,0.61859,0.013173,-0.013173,0.063325,-0.063325
3.1,3.0,3.2,0.43117,0.010327,-0.010327,0.046031,-0.046031
3.3,3.2,3.4,0.32069,0.0088262,-0.0088262,0.035149,-0.035149
3.5,3.4,3.6,0.24041,0.0076968,-0.0076968,0.030859,-0.030859
3.7,3.6,3.8,0.19034,0.0068763,-0.0068763,0.027127,-0.027127
3.9,3.8,4.0,0.1476,0.0062035,-0.0062035,0.025231,-0.025231
4.25,4.0,4.5,0.096587,0.0031737,-0.0031737,0.01867,-0.01867
4.75,4.5,5.0,0.053994,0.0024526,-0.0024526,0.01182,-0.01182

