#: table_doi: 10.17182/hepdata.110161.v1/t34
#: name: Table 34
#: description: $p_{T}$-distributions of protons ($p+pbar$)/pions ($\pi^{+}+\pi^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 0-5%.
#: data_file: table_34.yaml
#: keyword observables: RATIO
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> P X | XE XE --> PBAR X | XE XE --> PI+ X | XE XE --> PI- X
#: CENTRALITY [pct],,,0.0-5.0
#: RE(P + PBAR),,,XE XE --> P X, XE XE --> PBAR X
#: RE(PI+ + PI-),,,XE XE --> PI+ X, XE XE --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(p+pbar)/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -
0.32499999999999996,0.3,0.35,0.0089278,0.0001804,-0.0001804,0.0022376,-0.0022376
0.375,0.35,0.4,0.011038,0.0001766,-0.0001766,0.0021492,-0.0021492
0.42500000000000004,0.4,0.45,0.015824,0.0002238,-0.0002238,0.0028318,-0.0028318
0.475,0.45,0.5,0.020094,0.00024449,-0.00024449,0.0034595,-0.0034595
0.525,0.5,0.55,0.025396,0.0002849,-0.0002849,0.0041696,-0.0041696
0.575,0.55,0.6,0.02465,0.00032015,-0.00032015,0.0024409,-0.0024409
0.625,0.6,0.65,0.028646,0.00030738,-0.00030738,0.0041379,-0.0041379
0.675,0.65,0.7,0.033759,0.00036454,-0.00036454,0.0059007,-0.0059007
0.725,0.7,0.75,0.038378,0.00041698,-0.00041698,0.0068569,-0.0068569
0.775,0.75,0.8,0.042604,0.00048737,-0.00048737,0.0063573,-0.0063573
0.825,0.8,0.85,0.048732,0.00055191,-0.00055191,0.0065847,-0.0065847
0.875,0.85,0.9,0.055856,0.00063514,-0.00063514,0.0075286,-0.0075286
0.925,0.9,0.95,0.063965,0.00074769,-0.00074769,0.0085719,-0.0085719
0.975,0.95,1.0,0.072673,0.00078831,-0.00078831,0.0092947,-0.0092947
1.05,1.0,1.1,0.087653,0.00068304,-0.00068304,0.010482,-0.010482
1.15,1.1,1.2,0.11386,0.00090489,-0.00090489,0.01203,-0.01203
1.25,1.2,1.3,0.14094,0.0011819,-0.0011819,0.013248,-0.013248
1.35,1.3,1.4,0.18023,0.0015494,-0.0015494,0.015559,-0.015559
1.45,1.4,1.5,0.21397,0.0019454,-0.0019454,0.018767,-0.018767
1.55,1.5,1.6,0.25277,0.00245,-0.00245,0.023557,-0.023557
1.65,1.6,1.7,0.29566,0.0030448,-0.0030448,0.027952,-0.027952
1.75,1.7,1.8,0.33225,0.0035812,-0.0035812,0.031636,-0.031636
1.85,1.8,1.9,0.38878,0.0044856,-0.0044856,0.040362,-0.040362
1.95,1.9,2.0,0.4242,0.0052149,-0.0052149,0.050406,-0.050406
2.1,2.0,2.2,0.48128,0.0045278,-0.0045278,0.06126,-0.06126
2.3,2.2,2.4,0.55963,0.0059302,-0.0059302,0.072501,-0.072501
2.5,2.4,2.6,0.61441,0.0073884,-0.0073884,0.085135,-0.085135
2.7,2.6,2.8,0.66385,0.0091937,-0.0091937,0.098437,-0.098437
2.9,2.8,3.0,0.70917,0.011125,-0.011125,0.097733,-0.097733
3.1,3.0,3.2,0.71979,0.013113,-0.013113,0.089541,-0.089541
3.3,3.2,3.4,0.77343,0.016262,-0.016262,0.093364,-0.093364
3.5,3.4,3.6,0.72536,0.017541,-0.017541,0.10037,-0.10037
3.7,3.6,3.8,0.68349,0.019423,-0.019423,0.10466,-0.10466
3.9,3.8,4.0,0.63252,0.021788,-0.021788,0.11673,-0.11673
4.25,4.0,4.5,0.60541,0.016936,-0.016936,0.12482,-0.12482
4.75,4.5,5.0,0.46269,0.025199,-0.025199,0.11234,-0.11234

