#: table_doi: 10.17182/hepdata.110161.v1/t8
#: name: Table 8
#: description: $p_{T}$-distributions of kaons ($K^{+}+K^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 10-20%.
#: data_file: table_8.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> K+ X | XE XE --> K- X
#: CENTRALITY [pct],,,10.0-20.0
#: RE,,,XE XE --> K+ X, XE XE --> K- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.225,0.2,0.25,46.38,0.21982,-0.21982,3.2908,-3.2908
0.275,0.25,0.3,68.418,0.41107,-0.41107,4.734,-4.734
0.32499999999999996,0.3,0.35,67.845,0.19096,-0.19096,4.643,-4.643
0.375,0.35,0.4,73.008,0.21372,-0.21372,4.0927,-4.0927
0.42500000000000004,0.4,0.45,78.435,0.19573,-0.19573,4.0969,-4.0969
0.475,0.45,0.5,80.915,0.49916,-0.49916,8.591,-8.591
0.525,0.5,0.55,81.438,0.50831,-0.50831,8.4432,-8.4432
0.575,0.55,0.6,81.439,0.51314,-0.51314,8.1749,-8.1749
0.625,0.6,0.65,80.547,0.52579,-0.52579,8.0854,-8.0854
0.675,0.65,0.7,78.797,0.55273,-0.55273,7.216,-7.216
0.725,0.7,0.75,76.909,0.59459,-0.59459,5.9878,-5.9878
0.775,0.75,0.8,75.01,0.61189,-0.61189,5.9592,-5.9592
0.825,0.8,0.85,71.19,0.59457,-0.59457,5.9673,-5.9673
0.875,0.85,0.9,66.815,0.57259,-0.57259,5.7779,-5.7779
0.925,0.9,0.95,62.855,0.55705,-0.55705,5.6147,-5.6147
0.975,0.95,1.0,58.099,0.53526,-0.53526,5.2833,-5.2833
1.05,1.0,1.1,52.088,0.37228,-0.37228,4.6346,-4.6346
1.15,1.1,1.2,45.359,0.36676,-0.36676,3.4482,-3.4482
1.25,1.2,1.3,38.135,0.33348,-0.33348,2.3457,-2.3457
1.35,1.3,1.4,32.019,0.31563,-0.31563,2.6577,-2.6577
1.45,1.4,1.5,26.607,0.28643,-0.28643,1.9647,-1.9647
1.55,1.5,1.6,22.507,0.25828,-0.25828,1.4201,-1.4201
1.65,1.6,1.7,18.823,0.23185,-0.23185,1.0978,-1.0978
1.75,1.7,1.8,15.872,0.23563,-0.23563,1.2062,-1.2062
1.85,1.8,1.9,13.072,0.21217,-0.21217,0.95644,-0.95644
1.95,1.9,2.0,10.75,0.21288,-0.21288,0.95711,-0.95711
2.1,2.0,2.2,8.1315,0.11317,-0.11317,0.60793,-0.60793
2.3,2.2,2.4,5.55,0.10216,-0.10216,0.4368,-0.4368
2.5,2.4,2.6,3.5675,0.080085,-0.080085,0.37016,-0.37016
2.7,2.6,2.8,2.5443,0.076619,-0.076619,0.3068,-0.3068
2.9,2.8,3.0,1.9123,0.068131,-0.068131,0.32626,-0.32626
3.1,3.0,3.2,1.2232,0.043766,-0.043766,0.20203,-0.20203
3.3,3.2,3.4,0.9393,0.051471,-0.051471,0.1749,-0.1749
3.5,3.4,3.6,0.67336,0.04135,-0.04135,0.10198,-0.10198
3.7,3.6,3.8,0.49293,0.034259,-0.034259,0.10133,-0.10133
3.9,3.8,4.0,0.31427,0.028273,-0.028273,0.059107,-0.059107
4.25,4.0,4.5,0.2625,0.02325,-0.02325,0.02625,-0.02625
4.75,4.5,5.0,0.14223,0.018821,-0.018821,0.014223,-0.014223

