#: table_doi: 10.17182/hepdata.110161.v1/t10
#: name: Table 10
#: description: $p_{T}$-distributions of pions ($\pi^{+}+\pi^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 20-30%.
#: data_file: table_10.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> PI+ X | XE XE --> PI- X
#: CENTRALITY [pct],,,20.0-30.0
#: RE,,,XE XE --> PI+ X, XE XE --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.065,0.05,0.08,440.31,1.7956,-1.7956,49.513,-49.513
0.09,0.08,0.1,539.54,1.1225,-1.1225,56.544,-56.544
0.13,0.1,0.16,612.14,0.42608,-0.42608,23.632,-23.632
0.18,0.16,0.2,652.77,0.48603,-0.48603,29.163,-29.163
0.225,0.2,0.25,639.42,0.50148,-0.50148,34.399,-34.399
0.275,0.25,0.3,597.64,0.46834,-0.46834,32.845,-32.845
0.32499999999999996,0.3,0.35,553.52,0.81749,-0.81749,28.636,-28.636
0.375,0.35,0.4,507.11,0.75814,-0.75814,25.964,-25.964
0.42500000000000004,0.4,0.45,459.75,0.753,-0.753,22.786,-22.786
0.475,0.45,0.5,410.98,0.92669,-0.92669,14.069,-14.069
0.525,0.5,0.55,365.71,0.91266,-0.91266,14.36,-14.36
0.575,0.55,0.6,322.98,1.0244,-1.0244,16.92,-16.92
0.625,0.6,0.65,294.46,1.0494,-1.0494,11.642,-11.642
0.675,0.65,0.7,263.89,1.0137,-1.0137,11.264,-11.264
0.725,0.7,0.75,235.84,1.0305,-1.0305,11.855,-11.855
0.775,0.75,0.8,211.18,1.0519,-1.0519,11.486,-11.486
0.825,0.8,0.85,188.91,1.0583,-1.0583,12.399,-12.399
0.875,0.85,0.9,170.85,1.0718,-1.0718,16.09,-16.09
0.925,0.9,0.95,151.57,1.1013,-1.1013,11.771,-11.771
0.975,0.95,1.0,132.56,0.58291,-0.58291,7.5695,-7.5695
1.05,1.0,1.1,111.88,0.37936,-0.37936,6.6104,-6.6104
1.15,1.1,1.2,88.892,0.33611,-0.33611,5.2621,-5.2621
1.25,1.2,1.3,71.113,0.29846,-0.29846,4.1384,-4.1384
1.35,1.3,1.4,56.27,0.25875,-0.25875,3.243,-3.243
1.45,1.4,1.5,44.891,0.22805,-0.22805,2.5747,-2.5747
1.55,1.5,1.6,36.123,0.20229,-0.20229,2.1456,-2.1456
1.65,1.6,1.7,28.834,0.17507,-0.17507,1.9395,-1.9395
1.75,1.7,1.8,23.249,0.15294,-0.15294,1.8347,-1.8347
1.85,1.8,1.9,19.027,0.13671,-0.13671,1.7672,-1.7672
1.95,1.9,2.0,15.204,0.11648,-0.11648,1.642,-1.642
2.1,2.0,2.2,10.985,0.065707,-0.065707,1.277,-1.277
2.3,2.2,2.4,7.3992,0.051349,-0.051349,0.84075,-0.84075
2.5,2.4,2.6,5.068,0.040645,-0.040645,0.53257,-0.53257
2.7,2.6,2.8,3.4891,0.032108,-0.032108,0.34985,-0.34985
2.9,2.8,3.0,2.3863,0.025193,-0.025193,0.24383,-0.24383
3.1,3.0,3.2,1.713,0.021034,-0.021034,0.1829,-0.1829
3.3,3.2,3.4,1.2166,0.016955,-0.016955,0.13335,-0.13335
3.5,3.4,3.6,0.87395,0.014085,-0.014085,0.11212,-0.11212
3.7,3.6,3.8,0.67337,0.012731,-0.012731,0.095842,-0.095842
3.9,3.8,4.0,0.51331,0.011247,-0.011247,0.08778,-0.08778
4.25,4.0,4.5,0.32843,0.0058015,-0.0058015,0.063491,-0.063491
4.75,4.5,5.0,0.17126,0.0043818,-0.0043818,0.037465,-0.037465

