#: table_doi: 10.17182/hepdata.110161.v1/t46
#: name: Table 46
#: description: $p_{T}$-distributions of protons ($p+pbar$)/pions ($\pi^{+}+\pi^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 50-60%.
#: data_file: table_46.yaml
#: keyword observables: RATIO
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> P X | XE XE --> PBAR X | XE XE --> PI+ X | XE XE --> PI- X
#: CENTRALITY [pct],,,50.0-60.0
#: RE(P + PBAR),,,XE XE --> P X, XE XE --> PBAR X
#: RE(PI+ + PI-),,,XE XE --> PI+ X, XE XE --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(p+pbar)/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -
0.32499999999999996,0.3,0.35,0.01361,0.0003305,-0.0003305,0.0030166,-0.0030166
0.375,0.35,0.4,0.017068,0.00037877,-0.00037877,0.0032805,-0.0032805
0.42500000000000004,0.4,0.45,0.025284,0.00051449,-0.00051449,0.0045435,-0.0045435
0.475,0.45,0.5,0.033603,0.00060525,-0.00060525,0.0056781,-0.0056781
0.525,0.5,0.55,0.042496,0.00071918,-0.00071918,0.0067121,-0.0067121
0.575,0.55,0.6,0.043305,0.00072842,-0.00072842,0.003987,-0.003987
0.625,0.6,0.65,0.050484,0.0007363,-0.0007363,0.0072436,-0.0072436
0.675,0.65,0.7,0.057533,0.0010812,-0.0010812,0.0093621,-0.0093621
0.725,0.7,0.75,0.066681,0.0013626,-0.0013626,0.010323,-0.010323
0.775,0.75,0.8,0.077658,0.0018317,-0.0018317,0.011558,-0.011558
0.825,0.8,0.85,0.085648,0.0020937,-0.0020937,0.011788,-0.011788
0.875,0.85,0.9,0.09688,0.0024739,-0.0024739,0.012054,-0.012054
0.925,0.9,0.95,0.10622,0.0028606,-0.0028606,0.013984,-0.013984
0.975,0.95,1.0,0.12141,0.0030268,-0.0030268,0.015408,-0.015408
1.05,1.0,1.1,0.13394,0.0024727,-0.0024727,0.015963,-0.015963
1.15,1.1,1.2,0.16872,0.0034136,-0.0034136,0.017828,-0.017828
1.25,1.2,1.3,0.19134,0.0042129,-0.0042129,0.017985,-0.017985
1.35,1.3,1.4,0.21484,0.004998,-0.004998,0.018566,-0.018566
1.45,1.4,1.5,0.24819,0.0064003,-0.0064003,0.021746,-0.021746
1.55,1.5,1.6,0.27334,0.0073928,-0.0073928,0.025494,-0.025494
1.65,1.6,1.7,0.28804,0.0083358,-0.0083358,0.027228,-0.027228
1.75,1.7,1.8,0.31907,0.010115,-0.010115,0.03034,-0.03034
1.85,1.8,1.9,0.38254,0.013238,-0.013238,0.039771,-0.039771
1.95,1.9,2.0,0.3746,0.013041,-0.013041,0.044572,-0.044572
2.1,2.0,2.2,0.38653,0.010452,-0.010452,0.049224,-0.049224
2.3,2.2,2.4,0.40528,0.012673,-0.012673,0.05243,-0.05243
2.5,2.4,2.6,0.45088,0.015913,-0.015913,0.062851,-0.062851
2.7,2.6,2.8,0.44085,0.017276,-0.017276,0.065833,-0.065833
2.9,2.8,3.0,0.44404,0.019928,-0.019928,0.061686,-0.061686
3.1,3.0,3.2,0.42556,0.020827,-0.020827,0.053014,-0.053014
3.3,3.2,3.4,0.46191,0.025453,-0.025453,0.055702,-0.055702
3.5,3.4,3.6,0.52571,0.037087,-0.037087,0.0728,-0.0728
3.7,3.6,3.8,0.40097,0.029744,-0.029744,0.061369,-0.061369
3.9,3.8,4.0,0.38547,0.031835,-0.031835,0.071124,-0.071124
4.25,4.0,4.5,0.37786,0.024052,-0.024052,0.077817,-0.077817
4.75,4.5,5.0,0.3372,0.03365,-0.03365,0.0819,-0.0819

