#: table_doi: 10.17182/hepdata.110161.v1/t24
#: name: Table 24
#: description: $p_{T}$-distributions of protons ($p+pbar$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 60-70%.
#: data_file: table_24.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> P X | XE XE --> PBAR X
#: CENTRALITY [pct],,,60.0-70.0
#: RE,,,XE XE --> P X, XE XE --> PBAR X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.32499999999999996,0.3,0.35,1.3522,0.044982,-0.044982,0.32016,-0.32016
0.375,0.35,0.4,1.511,0.043386,-0.043386,0.26883,-0.26883
0.42500000000000004,0.4,0.45,1.9554,0.050769,-0.050769,0.28778,-0.28778
0.475,0.45,0.5,2.2136,0.04755,-0.04755,0.28396,-0.28396
0.525,0.5,0.55,2.4304,0.049219,-0.049219,0.26417,-0.26417
0.575,0.55,0.6,2.1185,0.04614,-0.04614,0.16722,-0.16722
0.625,0.6,0.65,2.1858,0.037376,-0.037376,0.30933,-0.30933
0.675,0.65,0.7,2.327,0.053139,-0.053139,0.35887,-0.35887
0.725,0.7,0.75,2.2832,0.053366,-0.053366,0.32972,-0.32972
0.775,0.75,0.8,2.2998,0.065014,-0.065014,0.31665,-0.31665
0.825,0.8,0.85,2.3001,0.068073,-0.068073,0.27269,-0.27269
0.875,0.85,0.9,2.2237,0.066812,-0.066812,0.25326,-0.25326
0.925,0.9,0.95,2.0733,0.060949,-0.060949,0.22854,-0.22854
0.975,0.95,1.0,1.9566,0.058379,-0.058379,0.22196,-0.22196
1.05,1.0,1.1,1.9195,0.045131,-0.045131,0.19936,-0.19936
1.15,1.1,1.2,1.7717,0.04578,-0.04578,0.15595,-0.15595
1.25,1.2,1.3,1.5328,0.03995,-0.03995,0.11245,-0.11245
1.35,1.3,1.4,1.4274,0.041122,-0.041122,0.092328,-0.092328
1.45,1.4,1.5,1.1665,0.035825,-0.035825,0.077199,-0.077199
1.55,1.5,1.6,1.1071,0.038461,-0.038461,0.079352,-0.079352
1.65,1.6,1.7,0.93418,0.034042,-0.034042,0.06194,-0.06194
1.75,1.7,1.8,0.81031,0.030556,-0.030556,0.042961,-0.042961
1.85,1.8,1.9,0.71484,0.029378,-0.029378,0.033298,-0.033298
1.95,1.9,2.0,0.61386,0.026603,-0.026603,0.030142,-0.030142
2.1,2.0,2.2,0.48244,0.01646,-0.01646,0.024636,-0.024636
2.3,2.2,2.4,0.34555,0.013365,-0.013365,0.021761,-0.021761
2.5,2.4,2.6,0.24637,0.010372,-0.010372,0.022029,-0.022029
2.7,2.6,2.8,0.18933,0.0090492,-0.0090492,0.020925,-0.020925
2.9,2.8,3.0,0.12552,0.0063387,-0.0063387,0.011541,-0.011541
3.1,3.0,3.2,0.10889,0.0070502,-0.0070502,0.0070113,-0.0070113
3.3,3.2,3.4,0.069069,0.0044219,-0.0044219,0.0034993,-0.0034993
3.5,3.4,3.6,0.056398,0.0046958,-0.0046958,0.0029451,-0.0029451
3.7,3.6,3.8,0.038588,0.0033567,-0.0033567,0.0021518,-0.0021518
3.9,3.8,4.0,0.035909,0.0038261,-0.0038261,0.0024875,-0.0024875
4.25,4.0,4.5,0.018057,0.0014704,-0.0014704,0.0013056,-0.0013056
4.75,4.5,5.0,0.0090138,0.001008,-0.001008,0.00094811,-0.00094811

