#: table_doi: 10.17182/hepdata.110161.v1/t4
#: name: Table 4
#: description: $p_{T}$-distributions of pions ($\pi^{+}+\pi^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 5-10%.
#: data_file: table_4.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> PI+ X | XE XE --> PI- X
#: CENTRALITY [pct],,,5.0-10.0
#: RE,,,XE XE --> PI+ X, XE XE --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.065,0.05,0.08,831.08,3.2734,-3.2734,98.142,-98.142
0.09,0.08,0.1,1001.4,2.4143,-2.4143,114.42,-114.42
0.13,0.1,0.16,1107.8,0.87988,-0.87988,44.929,-44.929
0.18,0.16,0.2,1193.0,0.97834,-0.97834,54.154,-54.154
0.225,0.2,0.25,1186.6,1.0129,-1.0129,63.88,-63.88
0.275,0.25,0.3,1119.3,0.94826,-0.94826,58.512,-58.512
0.32499999999999996,0.3,0.35,1029.9,1.5694,-1.5694,51.418,-51.418
0.375,0.35,0.4,953.18,1.2661,-1.2661,45.84,-45.84
0.42500000000000004,0.4,0.45,870.08,1.2415,-1.2415,40.837,-40.837
0.475,0.45,0.5,781.38,1.7117,-1.7117,29.671,-29.671
0.525,0.5,0.55,702.97,1.8304,-1.8304,27.862,-27.862
0.575,0.55,0.6,622.06,1.7856,-1.7856,30.782,-30.782
0.625,0.6,0.65,570.87,2.1122,-2.1122,19.486,-19.486
0.675,0.65,0.7,513.12,2.0242,-2.0242,21.733,-21.733
0.725,0.7,0.75,460.85,2.0746,-2.0746,20.989,-20.989
0.775,0.75,0.8,413.75,2.093,-2.093,28.09,-28.09
0.825,0.8,0.85,372.8,2.1262,-2.1262,27.516,-27.516
0.875,0.85,0.9,335.42,2.1971,-2.1971,22.336,-22.336
0.925,0.9,0.95,301.72,2.2569,-2.2569,21.2,-21.2
0.975,0.95,1.0,262.66,1.1617,-1.1617,14.998,-14.998
1.05,1.0,1.1,220.66,0.74858,-0.74858,13.04,-13.04
1.15,1.1,1.2,176.95,0.67322,-0.67322,10.475,-10.475
1.25,1.2,1.3,140.14,0.5864,-0.5864,8.1552,-8.1552
1.35,1.3,1.4,112.22,0.52042,-0.52042,6.4666,-6.4666
1.45,1.4,1.5,89.318,0.45792,-0.45792,5.1228,-5.1228
1.55,1.5,1.6,71.639,0.40073,-0.40073,4.2574,-4.2574
1.65,1.6,1.7,56.882,0.3451,-0.3451,3.8255,-3.8255
1.75,1.7,1.8,45.842,0.30223,-0.30223,3.6123,-3.6123
1.85,1.8,1.9,36.152,0.25723,-0.25723,3.3572,-3.3572
1.95,1.9,2.0,28.409,0.21519,-0.21519,3.0727,-3.0727
2.1,2.0,2.2,21.09,0.12711,-0.12711,2.453,-2.453
2.3,2.2,2.4,13.884,0.09642,-0.09642,1.5748,-1.5748
2.5,2.4,2.6,9.2616,0.074439,-0.074439,0.97321,-0.97321
2.7,2.6,2.8,6.2353,0.058465,-0.058465,0.62492,-0.62492
2.9,2.8,3.0,4.2854,0.046322,-0.046322,0.43803,-0.43803
3.1,3.0,3.2,3.0228,0.037853,-0.037853,0.32266,-0.32266
3.3,3.2,3.4,2.0692,0.030041,-0.030041,0.22681,-0.22681
3.5,3.4,3.6,1.5399,0.025808,-0.025808,0.19746,-0.19746
3.7,3.6,3.8,1.1287,0.02233,-0.02233,0.16073,-0.16073
3.9,3.8,4.0,0.78378,0.018486,-0.018486,0.13397,-0.13397
4.25,4.0,4.5,0.51039,0.0096343,-0.0096343,0.098667,-0.098667
4.75,4.5,5.0,0.26507,0.0076458,-0.0076458,0.058052,-0.058052

