#: table_doi: 10.17182/hepdata.110161.v1/t22
#: name: Table 22
#: description: $p_{T}$-distributions of pions ($\pi^{+}+\pi^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 60-70%.
#: data_file: table_22.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> PI+ X | XE XE --> PI- X
#: CENTRALITY [pct],,,60.0-70.0
#: RE,,,XE XE --> PI+ X, XE XE --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.065,0.05,0.08,79.13,0.87909,-0.87909,8.9359,-8.9359
0.09,0.08,0.1,94.251,0.42291,-0.42291,9.5999,-9.5999
0.13,0.1,0.16,104.5,0.16358,-0.16358,4.1798,-4.1798
0.18,0.16,0.2,106.87,0.18862,-0.18862,5.4666,-5.4666
0.225,0.2,0.25,101.47,0.19201,-0.19201,6.6681,-6.6681
0.275,0.25,0.3,91.776,0.17676,-0.17676,6.3868,-6.3868
0.32499999999999996,0.3,0.35,83.069,0.34808,-0.34808,5.2238,-5.2238
0.375,0.35,0.4,74.222,0.33617,-0.33617,4.4009,-4.4009
0.42500000000000004,0.4,0.45,65.422,0.3315,-0.3315,3.7615,-3.7615
0.475,0.45,0.5,56.762,0.35964,-0.35964,2.1174,-2.1174
0.525,0.5,0.55,49.561,0.32546,-0.32546,2.2221,-2.2221
0.575,0.55,0.6,42.513,0.27478,-0.27478,2.5856,-2.5856
0.625,0.6,0.65,38.482,0.35295,-0.35295,2.1241,-2.1241
0.675,0.65,0.7,32.992,0.32715,-0.32715,1.2308,-1.2308
0.725,0.7,0.75,29.079,0.33205,-0.33205,1.379,-1.379
0.775,0.75,0.8,25.723,0.34095,-0.34095,1.2159,-1.2159
0.825,0.8,0.85,23.074,0.34631,-0.34631,1.3303,-1.3303
0.875,0.85,0.9,20.728,0.35052,-0.35052,1.5661,-1.5661
0.925,0.9,0.95,17.869,0.36245,-0.36245,0.90954,-0.90954
0.975,0.95,1.0,15.502,0.17952,-0.17952,0.88492,-0.88492
1.05,1.0,1.1,12.92,0.11612,-0.11612,0.76351,-0.76351
1.15,1.1,1.2,10.128,0.10281,-0.10281,0.5996,-0.5996
1.25,1.2,1.3,8.1321,0.092359,-0.092359,0.47323,-0.47323
1.35,1.3,1.4,6.3787,0.080516,-0.080516,0.36761,-0.36761
1.45,1.4,1.5,5.0962,0.070402,-0.070402,0.29228,-0.29228
1.55,1.5,1.6,4.0536,0.061398,-0.061398,0.24065,-0.24065
1.65,1.6,1.7,3.2852,0.054687,-0.054687,0.22022,-0.22022
1.75,1.7,1.8,2.5589,0.045345,-0.045345,0.20162,-0.20162
1.85,1.8,1.9,2.1783,0.043189,-0.043189,0.20233,-0.20233
1.95,1.9,2.0,1.7609,0.03772,-0.03772,0.19078,-0.19078
2.1,2.0,2.2,1.3257,0.022326,-0.022326,0.15443,-0.15443
2.3,2.2,2.4,0.87792,0.016975,-0.016975,0.10006,-0.10006
2.5,2.4,2.6,0.65107,0.014557,-0.014557,0.068453,-0.068453
2.7,2.6,2.8,0.45282,0.011612,-0.011612,0.045405,-0.045405
2.9,2.8,3.0,0.31883,0.0093066,-0.0093066,0.032609,-0.032609
3.1,3.0,3.2,0.22773,0.0074002,-0.0074002,0.024308,-0.024308
3.3,3.2,3.4,0.18295,0.0071582,-0.0071582,0.020051,-0.020051
3.5,3.4,3.6,0.14569,0.0066273,-0.0066273,0.018687,-0.018687
3.7,3.6,3.8,0.10034,0.0049171,-0.0049171,0.014345,-0.014345
3.9,3.8,4.0,0.086426,0.0050354,-0.0050354,0.014737,-0.014737
4.25,4.0,4.5,0.052112,0.0023503,-0.0023503,0.010076,-0.010076
4.75,4.5,5.0,0.030226,0.0018595,-0.0018595,0.0066249,-0.0066249

