#: table_doi: 10.17182/hepdata.110161.v1/t32
#: name: Table 32
#: description: $p_{T}$-distributions of phi ($\phi$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 70-90%.
#: data_file: table_32.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> PHI X
#: CENTRALITY [pct],,,70.0-90.0
#: RE,,,XE XE --> PHI X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.8,0.7,0.9,0.1203,0.010424,-0.010424,0.009503,-0.009503
1.0,0.9,1.1,0.11286,0.0086202,-0.0086202,0.0085326,-0.0085326
1.2000000000000002,1.1,1.3,0.090618,0.0071449,-0.0071449,0.0067974,-0.0067974
1.4,1.3,1.5,0.053966,0.0061981,-0.0061981,0.0040701,-0.0040701
1.75,1.5,2.0,0.04537,0.0039594,-0.0039594,0.0055111,-0.0055111
2.5,2.0,3.0,0.015119,0.0013744,-0.0013744,0.0018153,-0.0018153
3.5,3.0,4.0,0.0046152,0.00052359,-0.00052359,0.00065942,-0.00065942
4.5,4.0,5.0,0.0013017,0.00022148,-0.00022148,0.00018107,-0.00018107
6.0,5.0,7.0,0.00028184,9.0697e-05,-9.0697e-05,3.7547e-05,-3.7547e-05

