#: table_doi: 10.17182/hepdata.110161.v1/t11
#: name: Table 11
#: description: $p_{T}$-distributions of kaons ($K^{+}+K^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 20-30%.
#: data_file: table_11.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> K+ X | XE XE --> K- X
#: CENTRALITY [pct],,,20.0-30.0
#: RE,,,XE XE --> K+ X, XE XE --> K- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.225,0.2,0.25,34.63,0.18218,-0.18218,2.3483,-2.3483
0.275,0.25,0.3,48.951,0.35011,-0.35011,3.2731,-3.2731
0.32499999999999996,0.3,0.35,48.202,0.16362,-0.16362,3.1292,-3.1292
0.375,0.35,0.4,51.675,0.17602,-0.17602,2.8586,-2.8586
0.42500000000000004,0.4,0.45,55.185,0.16458,-0.16458,2.8957,-2.8957
0.475,0.45,0.5,57.851,0.42163,-0.42163,6.0096,-6.0096
0.525,0.5,0.55,57.221,0.42092,-0.42092,5.8562,-5.8562
0.575,0.55,0.6,56.532,0.42359,-0.42359,5.571,-5.571
0.625,0.6,0.65,56.355,0.43583,-0.43583,5.4631,-5.4631
0.675,0.65,0.7,55.572,0.46103,-0.46103,4.8938,-4.8938
0.725,0.7,0.75,53.626,0.49534,-0.49534,4.3817,-4.3817
0.775,0.75,0.8,51.231,0.49872,-0.49872,3.7756,-3.7756
0.825,0.8,0.85,48.563,0.48394,-0.48394,3.9658,-3.9658
0.875,0.85,0.9,45.785,0.46724,-0.46724,3.8833,-3.8833
0.925,0.9,0.95,42.376,0.44492,-0.44492,3.7032,-3.7032
0.975,0.95,1.0,39.782,0.43791,-0.43791,3.5326,-3.5326
1.05,1.0,1.1,35.737,0.30439,-0.30439,3.0928,-3.0928
1.15,1.1,1.2,30.862,0.29802,-0.29802,2.0902,-2.0902
1.25,1.2,1.3,25.816,0.27396,-0.27396,1.5977,-1.5977
1.35,1.3,1.4,21.411,0.25086,-0.25086,1.5921,-1.5921
1.45,1.4,1.5,17.807,0.2301,-0.2301,1.3146,-1.3146
1.55,1.5,1.6,15.229,0.21085,-0.21085,0.89142,-0.89142
1.65,1.6,1.7,12.608,0.1869,-0.1869,0.68115,-0.68115
1.75,1.7,1.8,10.546,0.18509,-0.18509,0.78631,-0.78631
1.85,1.8,1.9,8.5341,0.16314,-0.16314,0.59823,-0.59823
1.95,1.9,2.0,7.2019,0.16935,-0.16935,0.6371,-0.6371
2.1,2.0,2.2,5.2922,0.089999,-0.089999,0.36752,-0.36752
2.3,2.2,2.4,3.7579,0.083354,-0.083354,0.301,-0.301
2.5,2.4,2.6,2.4105,0.0652,-0.0652,0.25281,-0.25281
2.7,2.6,2.8,1.8305,0.06512,-0.06512,0.26332,-0.26332
2.9,2.8,3.0,1.2543,0.053415,-0.053415,0.18085,-0.18085
3.1,3.0,3.2,0.86135,0.036708,-0.036708,0.12253,-0.12253
3.3,3.2,3.4,0.68805,0.044516,-0.044516,0.11448,-0.11448
3.5,3.4,3.6,0.48243,0.032989,-0.032989,0.075558,-0.075558
3.7,3.6,3.8,0.33426,0.0276,-0.0276,0.06259,-0.06259
3.9,3.8,4.0,0.23259,0.023574,-0.023574,0.046496,-0.046496
4.25,4.0,4.5,0.20051,0.019525,-0.019525,0.020051,-0.020051
4.75,4.5,5.0,0.097885,0.014527,-0.014527,0.0097885,-0.0097885

