#: table_doi: 10.17182/hepdata.110161.v1/t28
#: name: Table 28
#: description: $p_{T}$-distributions of phi ($\phi$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 0-10%.
#: data_file: table_28.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> PHI X
#: CENTRALITY [pct],,,0.0-10.0
#: RE,,,XE XE --> PHI X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.6,0.5,0.7,4.7849,0.78558,-0.78558,0.43908,-0.43908
0.8,0.7,0.9,5.3024,0.56299,-0.56299,0.48024,-0.48024
1.0,0.9,1.1,5.08,0.36892,-0.36892,0.47613,-0.47613
1.2000000000000002,1.1,1.3,5.1764,0.36552,-0.36552,0.48479,-0.48479
1.4,1.3,1.5,4.0693,0.33095,-0.33095,0.38659,-0.38659
1.75,1.5,2.0,3.0232,0.23508,-0.23508,0.31168,-0.31168
2.5,2.0,3.0,1.1896,0.083635,-0.083635,0.12167,-0.12167
3.5,3.0,4.0,0.29818,0.031917,-0.031917,0.065523,-0.065523
4.5,4.0,5.0,0.070281,0.014664,-0.014664,0.015318,-0.015318
6.0,5.0,7.0,0.010055,0.0016713,-0.0016713,0.0021421,-0.0021421
8.5,7.0,10.0,0.0030413,0.0004858,-0.0004858,0.0006806,-0.0006806

