#: table_doi: 10.17182/hepdata.110161.v1/t14
#: name: Table 14
#: description: $p_{T}$-distributions of kaons ($K^{+}+K^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 30-40%.
#: data_file: table_14.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> K+ X | XE XE --> K- X
#: CENTRALITY [pct],,,30.0-40.0
#: RE,,,XE XE --> K+ X, XE XE --> K- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.225,0.2,0.25,25.507,0.15173,-0.15173,1.7135,-1.7135
0.275,0.25,0.3,34.692,0.29757,-0.29757,2.0773,-2.0773
0.32499999999999996,0.3,0.35,34.023,0.14028,-0.14028,2.2682,-2.2682
0.375,0.35,0.4,36.028,0.14384,-0.14384,1.9691,-1.9691
0.42500000000000004,0.4,0.45,38.068,0.13963,-0.13963,2.0677,-2.0677
0.475,0.45,0.5,38.726,0.33923,-0.33923,4.5462,-4.5462
0.525,0.5,0.55,38.593,0.34282,-0.34282,4.2614,-4.2614
0.575,0.55,0.6,38.378,0.34609,-0.34609,4.0053,-4.0053
0.625,0.6,0.65,38.501,0.35742,-0.35742,3.6226,-3.6226
0.675,0.65,0.7,36.938,0.37226,-0.37226,3.3854,-3.3854
0.725,0.7,0.75,35.422,0.39598,-0.39598,2.6727,-2.6727
0.775,0.75,0.8,34.141,0.40535,-0.40535,2.5138,-2.5138
0.825,0.8,0.85,31.455,0.37867,-0.37867,2.4246,-2.4246
0.875,0.85,0.9,29.924,0.37148,-0.37148,2.4788,-2.4788
0.925,0.9,0.95,27.928,0.35797,-0.35797,2.4446,-2.4446
0.975,0.95,1.0,25.755,0.34476,-0.34476,2.2973,-2.2973
1.05,1.0,1.1,22.849,0.2374,-0.2374,1.9555,-1.9555
1.15,1.1,1.2,19.864,0.23644,-0.23644,1.3459,-1.3459
1.25,1.2,1.3,16.251,0.21057,-0.21057,0.99805,-0.99805
1.35,1.3,1.4,13.808,0.19649,-0.19649,1.0814,-1.0814
1.45,1.4,1.5,11.571,0.18579,-0.18579,0.85088,-0.85088
1.55,1.5,1.6,9.5031,0.15987,-0.15987,0.5518,-0.5518
1.65,1.6,1.7,8.151,0.15184,-0.15184,0.44064,-0.44064
1.75,1.7,1.8,6.7633,0.14664,-0.14664,0.50377,-0.50377
1.85,1.8,1.9,5.2528,0.12198,-0.12198,0.36644,-0.36644
1.95,1.9,2.0,4.652,0.13346,-0.13346,0.42493,-0.42493
2.1,2.0,2.2,3.3974,0.069953,-0.069953,0.26276,-0.26276
2.3,2.2,2.4,2.3595,0.062256,-0.062256,0.2254,-0.2254
2.5,2.4,2.6,1.6089,0.051527,-0.051527,0.21574,-0.21574
2.7,2.6,2.8,1.1388,0.050712,-0.050712,0.14751,-0.14751
2.9,2.8,3.0,0.82604,0.041513,-0.041513,0.14269,-0.14269
3.1,3.0,3.2,0.58571,0.030351,-0.030351,0.096553,-0.096553
3.3,3.2,3.4,0.46575,0.035681,-0.035681,0.082744,-0.082744
3.5,3.4,3.6,0.29886,0.026667,-0.026667,0.0378,-0.0378
3.7,3.6,3.8,0.23312,0.021677,-0.021677,0.074509,-0.074509
3.9,3.8,4.0,0.15919,0.019568,-0.019568,0.038319,-0.038319
4.25,4.0,4.5,0.10834,0.013645,-0.013645,0.010834,-0.010834
4.75,4.5,5.0,0.071597,0.013206,-0.013206,0.0071597,-0.0071597

