#: table_doi: 10.17182/hepdata.110161.v1/t42
#: name: Table 42
#: description: $p_{T}$-distributions of protons ($p+pbar$)/pions ($\pi^{+}+\pi^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 30-40%.
#: data_file: table_42.yaml
#: keyword observables: RATIO
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> P X | XE XE --> PBAR X | XE XE --> PI+ X | XE XE --> PI- X
#: CENTRALITY [pct],,,30.0-40.0
#: RE(P + PBAR),,,XE XE --> P X, XE XE --> PBAR X
#: RE(PI+ + PI-),,,XE XE --> PI+ X, XE XE --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(p+pbar)/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -
0.32499999999999996,0.3,0.35,0.011734,0.00023489,-0.00023489,0.0026542,-0.0026542
0.375,0.35,0.4,0.014584,0.00024028,-0.00024028,0.0027919,-0.0027919
0.42500000000000004,0.4,0.45,0.020886,0.00030766,-0.00030766,0.0036899,-0.0036899
0.475,0.45,0.5,0.026819,0.00034562,-0.00034562,0.0044584,-0.0044584
0.525,0.5,0.55,0.033804,0.00040338,-0.00040338,0.0052816,-0.0052816
0.575,0.55,0.6,0.032059,0.00037217,-0.00037217,0.0035873,-0.0035873
0.625,0.6,0.65,0.037343,0.00038069,-0.00038069,0.0054138,-0.0054138
0.675,0.65,0.7,0.043624,0.00054842,-0.00054842,0.0070982,-0.0070982
0.725,0.7,0.75,0.052103,0.00069703,-0.00069703,0.0082328,-0.0082328
0.775,0.75,0.8,0.060819,0.00094094,-0.00094094,0.0092992,-0.0092992
0.825,0.8,0.85,0.066882,0.0010578,-0.0010578,0.008705,-0.008705
0.875,0.85,0.9,0.0768,0.0012595,-0.0012595,0.010198,-0.010198
0.925,0.9,0.95,0.085918,0.001478,-0.001478,0.011402,-0.011402
0.975,0.95,1.0,0.095495,0.0015164,-0.0015164,0.012174,-0.012174
1.05,1.0,1.1,0.11597,0.0013795,-0.0013795,0.013869,-0.013869
1.15,1.1,1.2,0.14094,0.0017745,-0.0017745,0.014896,-0.014896
1.25,1.2,1.3,0.17169,0.0023594,-0.0023594,0.016101,-0.016101
1.35,1.3,1.4,0.20607,0.0030369,-0.0030369,0.017847,-0.017847
1.45,1.4,1.5,0.22502,0.0034921,-0.0034921,0.019729,-0.019729
1.55,1.5,1.6,0.26428,0.0044299,-0.0044299,0.024631,-0.024631
1.65,1.6,1.7,0.29098,0.005173,-0.005173,0.027516,-0.027516
1.75,1.7,1.8,0.31955,0.0059709,-0.0059709,0.030451,-0.030451
1.85,1.8,1.9,0.37084,0.0075224,-0.0075224,0.038528,-0.038528
1.95,1.9,2.0,0.38592,0.0082799,-0.0082799,0.045864,-0.045864
2.1,2.0,2.2,0.41828,0.0069046,-0.0069046,0.053221,-0.053221
2.3,2.2,2.4,0.46736,0.0087992,-0.0087992,0.060677,-0.060677
2.5,2.4,2.6,0.50231,0.010733,-0.010733,0.069609,-0.069609
2.7,2.6,2.8,0.47981,0.011264,-0.011264,0.07119,-0.07119
2.9,2.8,3.0,0.53,0.014396,-0.014396,0.073458,-0.073458
3.1,3.0,3.2,0.55201,0.017292,-0.017292,0.068724,-0.068724
3.3,3.2,3.4,0.53515,0.018465,-0.018465,0.06456,-0.06456
3.5,3.4,3.6,0.50449,0.020104,-0.020104,0.069814,-0.069814
3.7,3.6,3.8,0.48668,0.020875,-0.020875,0.07433,-0.07433
3.9,3.8,4.0,0.45429,0.022712,-0.022712,0.083797,-0.083797
4.25,4.0,4.5,0.3948,0.015183,-0.015183,0.081308,-0.081308
4.75,4.5,5.0,0.33942,0.018905,-0.018905,0.082433,-0.082433

