#: table_doi: 10.17182/hepdata.110161.v1/t7
#: name: Table 7
#: description: $p_{T}$-distributions of pions ($\pi^{+}+\pi^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 10-20%.
#: data_file: table_7.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> PI+ X | XE XE --> PI- X
#: CENTRALITY [pct],,,10.0-20.0
#: RE,,,XE XE --> PI+ X, XE XE --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.065,0.05,0.08,640.71,2.1018,-2.1018,73.851,-73.851
0.09,0.08,0.1,776.65,1.4373,-1.4373,83.407,-83.407
0.13,0.1,0.16,864.94,0.53043,-0.53043,34.261,-34.261
0.18,0.16,0.2,930.3,0.59785,-0.59785,42.304,-42.304
0.225,0.2,0.25,920.85,0.61912,-0.61912,49.965,-49.965
0.275,0.25,0.3,863.83,0.57874,-0.57874,46.08,-46.08
0.32499999999999996,0.3,0.35,796.74,0.96645,-0.96645,38.002,-38.002
0.375,0.35,0.4,734.53,0.84867,-0.84867,35.215,-35.215
0.42500000000000004,0.4,0.45,670.08,0.86671,-0.86671,31.771,-31.771
0.475,0.45,0.5,597.57,1.0902,-1.0902,21.814,-21.814
0.525,0.5,0.55,533.79,1.1451,-1.1451,20.585,-20.585
0.575,0.55,0.6,473.94,1.087,-1.087,22.9,-22.9
0.625,0.6,0.65,433.51,1.2967,-1.2967,16.713,-16.713
0.675,0.65,0.7,388.43,1.2502,-1.2502,16.005,-16.005
0.725,0.7,0.75,346.95,1.2607,-1.2607,20.299,-20.299
0.775,0.75,0.8,312.57,1.2938,-1.2938,18.061,-18.061
0.825,0.8,0.85,280.43,1.3157,-1.3157,17.952,-17.952
0.875,0.85,0.9,251.32,1.3293,-1.3293,18.781,-18.781
0.925,0.9,0.95,225.78,1.3647,-1.3647,17.701,-17.701
0.975,0.95,1.0,197.45,0.71871,-0.71871,11.276,-11.276
1.05,1.0,1.1,166.55,0.46718,-0.46718,9.8409,-9.8409
1.15,1.1,1.2,133.29,0.4179,-0.4179,7.8909,-7.8909
1.25,1.2,1.3,106.16,0.36795,-0.36795,6.1775,-6.1775
1.35,1.3,1.4,84.059,0.32094,-0.32094,4.8437,-4.8437
1.45,1.4,1.5,66.956,0.28293,-0.28293,3.8416,-3.8416
1.55,1.5,1.6,53.666,0.24625,-0.24625,3.1893,-3.1893
1.65,1.6,1.7,43.225,0.21703,-0.21703,2.9098,-2.9098
1.75,1.7,1.8,34.334,0.18591,-0.18591,2.7081,-2.7081
1.85,1.8,1.9,27.565,0.16134,-0.16134,2.5603,-2.5603
1.95,1.9,2.0,22.208,0.14036,-0.14036,2.4002,-2.4002
2.1,2.0,2.2,16.297,0.081182,-0.081182,1.8956,-1.8956
2.3,2.2,2.4,10.869,0.062652,-0.062652,1.2349,-1.2349
2.5,2.4,2.6,7.3314,0.048838,-0.048838,0.77045,-0.77045
2.7,2.6,2.8,4.9702,0.038004,-0.038004,0.49796,-0.49796
2.9,2.8,3.0,3.4148,0.0302,-0.0302,0.34869,-0.34869
3.1,3.0,3.2,2.3861,0.024224,-0.024224,0.25474,-0.25474
3.3,3.2,3.4,1.6975,0.019779,-0.019779,0.18606,-0.18606
3.5,3.4,3.6,1.2627,0.017334,-0.017334,0.16205,-0.16205
3.7,3.6,3.8,0.90161,0.014261,-0.014261,0.12836,-0.12836
3.9,3.8,4.0,0.65977,0.012314,-0.012314,0.1128,-0.1128
4.25,4.0,4.5,0.52175,0.0074733,-0.0074733,0.10091,-0.10091
4.75,4.5,5.0,0.2399,0.0051393,-0.0051393,0.052526,-0.052526

