#: table_doi: 10.17182/hepdata.110161.v1/t21
#: name: Table 21
#: description: $p_{T}$-distributions of protons ($p+pbar$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 50-60%.
#: data_file: table_21.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> P X | XE XE --> PBAR X
#: CENTRALITY [pct],,,50.0-60.0
#: RE,,,XE XE --> P X, XE XE --> PBAR X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.32499999999999996,0.3,0.35,2.0277,0.048857,-0.048857,0.4842,-0.4842
0.375,0.35,0.4,2.2825,0.050105,-0.050105,0.40359,-0.40359
0.42500000000000004,0.4,0.45,3.0093,0.060264,-0.060264,0.42333,-0.42333
0.475,0.45,0.5,3.4799,0.060595,-0.060595,0.43531,-0.43531
0.525,0.5,0.55,3.8879,0.062917,-0.062917,0.41099,-0.41099
0.575,0.55,0.6,3.4977,0.059049,-0.059049,0.23815,-0.23815
0.625,0.6,0.65,3.5981,0.046312,-0.046312,0.49995,-0.49995
0.675,0.65,0.7,3.6309,0.062744,-0.062744,0.55596,-0.55596
0.725,0.7,0.75,3.72,0.069033,-0.069033,0.5516,-0.5516
0.775,0.75,0.8,3.8035,0.081769,-0.081769,0.52663,-0.52663
0.825,0.8,0.85,3.6965,0.080672,-0.080672,0.44835,-0.44835
0.875,0.85,0.9,3.7201,0.082136,-0.082136,0.42032,-0.42032
0.925,0.9,0.95,3.6469,0.082601,-0.082601,0.40886,-0.40886
0.975,0.95,1.0,3.6,0.084259,-0.084259,0.40804,-0.40804
1.05,1.0,1.1,3.3778,0.058093,-0.058093,0.34965,-0.34965
1.15,1.1,1.2,3.3113,0.062291,-0.062291,0.2898,-0.2898
1.25,1.2,1.3,3.0134,0.061303,-0.061303,0.22244,-0.22244
1.35,1.3,1.4,2.6635,0.056842,-0.056842,0.17156,-0.17156
1.45,1.4,1.5,2.4842,0.05866,-0.05866,0.1646,-0.1646
1.55,1.5,1.6,2.1653,0.05322,-0.05322,0.1556,-0.1556
1.65,1.6,1.7,1.8436,0.048325,-0.048325,0.12225,-0.12225
1.75,1.7,1.8,1.6315,0.047068,-0.047068,0.086352,-0.086352
1.85,1.8,1.9,1.5521,0.049035,-0.049035,0.072449,-0.072449
1.95,1.9,2.0,1.2372,0.038774,-0.038774,0.061143,-0.061143
2.1,2.0,2.2,0.97501,0.023509,-0.023509,0.050276,-0.050276
2.3,2.2,2.4,0.71554,0.019931,-0.019931,0.044874,-0.044874
2.5,2.4,2.6,0.52763,0.01658,-0.01658,0.048312,-0.048312
2.7,2.6,2.8,0.37971,0.013083,-0.013083,0.042039,-0.042039
2.9,2.8,3.0,0.27468,0.010851,-0.010851,0.025795,-0.025795
3.1,3.0,3.2,0.18349,0.0078309,-0.0078309,0.01178,-0.01178
3.3,3.2,3.4,0.14813,0.0070714,-0.0070714,0.0074482,-0.0074482
3.5,3.4,3.6,0.12638,0.0079448,-0.0079448,0.0065662,-0.0065662
3.7,3.6,3.8,0.076319,0.0049447,-0.0049447,0.0042588,-0.0042588
3.9,3.8,4.0,0.056894,0.0040448,-0.0040448,0.0039512,-0.0039512
4.25,4.0,4.5,0.036496,0.0019897,-0.0019897,0.0025932,-0.0025932
4.75,4.5,5.0,0.018207,0.0016177,-0.0016177,0.0019151,-0.0019151

