#: table_doi: 10.17182/hepdata.110161.v1/t20
#: name: Table 20
#: description: $p_{T}$-distributions of kaons ($K^{+}+K^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 50-60%.
#: data_file: table_20.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> K+ X | XE XE --> K- X
#: CENTRALITY [pct],,,50.0-60.0
#: RE,,,XE XE --> K+ X, XE XE --> K- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.225,0.2,0.25,11.578,0.098637,-0.098637,0.84136,-0.84136
0.275,0.25,0.3,14.757,0.19931,-0.19931,0.66978,-0.66978
0.32499999999999996,0.3,0.35,14.473,0.095037,-0.095037,0.92899,-0.92899
0.375,0.35,0.4,14.806,0.094429,-0.094429,0.88345,-0.88345
0.42500000000000004,0.4,0.45,15.49,0.090838,-0.090838,0.87232,-0.87232
0.475,0.45,0.5,15.595,0.21333,-0.21333,1.6385,-1.6385
0.525,0.5,0.55,15.004,0.20948,-0.20948,1.5741,-1.5741
0.575,0.55,0.6,14.869,0.20991,-0.20991,1.4685,-1.4685
0.625,0.6,0.65,13.891,0.20519,-0.20519,1.3686,-1.3686
0.675,0.65,0.7,13.456,0.21316,-0.21316,1.1798,-1.1798
0.725,0.7,0.75,12.855,0.2289,-0.2289,1.0141,-1.0141
0.775,0.75,0.8,12.127,0.22845,-0.22845,0.86252,-0.86252
0.825,0.8,0.85,11.288,0.21874,-0.21874,0.88248,-0.88248
0.875,0.85,0.9,10.218,0.20512,-0.20512,0.92524,-0.92524
0.925,0.9,0.95,9.475,0.1944,-0.1944,0.81491,-0.81491
0.975,0.95,1.0,8.6794,0.18727,-0.18727,0.79361,-0.79361
1.05,1.0,1.1,7.6299,0.12808,-0.12808,0.66106,-0.66106
1.15,1.1,1.2,6.3903,0.12101,-0.12101,0.43416,-0.43416
1.25,1.2,1.3,5.4145,0.11439,-0.11439,0.34214,-0.34214
1.35,1.3,1.4,4.53,0.10654,-0.10654,0.3427,-0.3427
1.45,1.4,1.5,3.7093,0.09538,-0.09538,0.2801,-0.2801
1.55,1.5,1.6,3.06,0.084619,-0.084619,0.17772,-0.17772
1.65,1.6,1.7,2.5297,0.076429,-0.076429,0.13828,-0.13828
1.75,1.7,1.8,2.1039,0.07482,-0.07482,0.15897,-0.15897
1.85,1.8,1.9,1.7034,0.068044,-0.068044,0.16451,-0.16451
1.95,1.9,2.0,1.4743,0.070168,-0.070168,0.13188,-0.13188
2.1,2.0,2.2,1.1057,0.037663,-0.037663,0.081753,-0.081753
2.3,2.2,2.4,0.81811,0.03618,-0.03618,0.070362,-0.070362
2.5,2.4,2.6,0.50293,0.027952,-0.027952,0.040986,-0.040986
2.7,2.6,2.8,0.40168,0.028002,-0.028002,0.056032,-0.056032
2.9,2.8,3.0,0.26626,0.023025,-0.023025,0.043705,-0.043705
3.1,3.0,3.2,0.18989,0.01703,-0.01703,0.021381,-0.021381
3.3,3.2,3.4,0.14289,0.018868,-0.018868,0.013884,-0.013884
3.5,3.4,3.6,0.10981,0.015409,-0.015409,0.010657,-0.010657
3.7,3.6,3.8,0.096604,0.016042,-0.016042,0.015602,-0.015602
3.9,3.8,4.0,0.07185,0.012707,-0.012707,0.026855,-0.026855
4.25,4.0,4.5,0.075694,0.014431,-0.014431,0.0075694,-0.0075694
4.75,4.5,5.0,0.023953,0.0071153,-0.0071153,0.0023953,-0.0023953

