#: table_doi: 10.17182/hepdata.110161.v1/t36
#: name: Table 36
#: description: $p_{T}$-distributions of protons ($p+pbar$)/pions ($\pi^{+}+\pi^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 5-10%.
#: data_file: table_36.yaml
#: keyword observables: RATIO
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> P X | XE XE --> PBAR X | XE XE --> PI+ X | XE XE --> PI- X
#: CENTRALITY [pct],,,5.0-10.0
#: RE(P + PBAR),,,XE XE --> P X, XE XE --> PBAR X
#: RE(PI+ + PI-),,,XE XE --> PI+ X, XE XE --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(p+pbar)/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -
0.32499999999999996,0.3,0.35,0.0089055,0.0001825,-0.0001825,0.0021526,-0.0021526
0.375,0.35,0.4,0.01141,0.00018876,-0.00018876,0.0021933,-0.0021933
0.42500000000000004,0.4,0.45,0.016497,0.00024507,-0.00024507,0.0028882,-0.0028882
0.475,0.45,0.5,0.0212,0.00027436,-0.00027436,0.0035388,-0.0035388
0.525,0.5,0.55,0.026593,0.00031917,-0.00031917,0.0042393,-0.0042393
0.575,0.55,0.6,0.02441,0.00029909,-0.00029909,0.0031143,-0.0031143
0.625,0.6,0.65,0.028085,0.0002842,-0.0002842,0.0039883,-0.0039883
0.675,0.65,0.7,0.033133,0.00037686,-0.00037686,0.0054975,-0.0054975
0.725,0.7,0.75,0.038143,0.00045252,-0.00045252,0.0066877,-0.0066877
0.775,0.75,0.8,0.042434,0.00056078,-0.00056078,0.0064914,-0.0064914
0.825,0.8,0.85,0.04913,0.00066592,-0.00066592,0.0068531,-0.0068531
0.875,0.85,0.9,0.056438,0.00078292,-0.00078292,0.0073667,-0.0073667
0.925,0.9,0.95,0.066575,0.00096657,-0.00096657,0.0087598,-0.0087598
0.975,0.95,1.0,0.076953,0.0010424,-0.0010424,0.0098338,-0.0098338
1.05,1.0,1.1,0.091817,0.00091334,-0.00091334,0.010932,-0.010932
1.15,1.1,1.2,0.11887,0.0012564,-0.0012564,0.012554,-0.012554
1.25,1.2,1.3,0.14733,0.0016407,-0.0016407,0.013795,-0.013795
1.35,1.3,1.4,0.18168,0.0022058,-0.0022058,0.015735,-0.015735
1.45,1.4,1.5,0.21442,0.0027515,-0.0027515,0.018752,-0.018752
1.55,1.5,1.6,0.25632,0.0035867,-0.0035867,0.023882,-0.023882
1.65,1.6,1.7,0.29832,0.0043956,-0.0043956,0.028203,-0.028203
1.75,1.7,1.8,0.33355,0.0052129,-0.0052129,0.031759,-0.031759
1.85,1.8,1.9,0.38124,0.0063207,-0.0063207,0.039579,-0.039579
1.95,1.9,2.0,0.42924,0.0075525,-0.0075525,0.051013,-0.051013
2.1,2.0,2.2,0.47503,0.0064111,-0.0064111,0.060415,-0.060415
2.3,2.2,2.4,0.53365,0.0080888,-0.0080888,0.069177,-0.069177
2.5,2.4,2.6,0.59357,0.010138,-0.010138,0.08217,-0.08217
2.7,2.6,2.8,0.62363,0.011906,-0.011906,0.093008,-0.093008
2.9,2.8,3.0,0.67192,0.014805,-0.014805,0.092644,-0.092644
3.1,3.0,3.2,0.68925,0.01718,-0.01718,0.085768,-0.085768
3.3,3.2,3.4,0.70752,0.020136,-0.020136,0.085408,-0.085408
3.5,3.4,3.6,0.63719,0.020084,-0.020084,0.088111,-0.088111
3.7,3.6,3.8,0.65049,0.023988,-0.023988,0.099474,-0.099474
3.9,3.8,4.0,0.6307,0.026437,-0.026437,0.11632,-0.11632
4.25,4.0,4.5,0.55389,0.018717,-0.018717,0.11416,-0.11416
4.75,4.5,5.0,0.39369,0.019101,-0.019101,0.095648,-0.095648

