#: table_doi: 10.17182/hepdata.110161.v1/t50
#: name: Table 50
#: description: $p_{T}$-distributions of protons ($p+pbar$)/pions ($\pi^{+}+\pi^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 70-90%.
#: data_file: table_50.yaml
#: keyword observables: RATIO
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> P X | XE XE --> PBAR X | XE XE --> PI+ X | XE XE --> PI- X
#: CENTRALITY [pct],,,70.0-90.0
#: RE(P + PBAR),,,XE XE --> P X, XE XE --> PBAR X
#: RE(PI+ + PI-),,,XE XE --> PI+ X, XE XE --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(p+pbar)/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -
0.32499999999999996,0.3,0.35,0.019005,0.00066495,-0.00066495,0.0042759,-0.0042759
0.375,0.35,0.4,0.023094,0.00072124,-0.00072124,0.0044293,-0.0044293
0.42500000000000004,0.4,0.45,0.033438,0.0009738,-0.0009738,0.0059912,-0.0059912
0.475,0.45,0.5,0.04397,0.0011184,-0.0011184,0.0073288,-0.0073288
0.525,0.5,0.55,0.056721,0.001366,-0.001366,0.0089957,-0.0089957
0.575,0.55,0.6,0.062159,0.0015044,-0.0015044,0.005759,-0.005759
0.625,0.6,0.65,0.073103,0.0015728,-0.0015728,0.011201,-0.011201
0.675,0.65,0.7,0.087799,0.0024392,-0.0024392,0.014181,-0.014181
0.725,0.7,0.75,0.099129,0.0030058,-0.0030058,0.016861,-0.016861
0.775,0.75,0.8,0.10544,0.0037543,-0.0037543,0.015507,-0.015507
0.825,0.8,0.85,0.11651,0.0044099,-0.0044099,0.015423,-0.015423
0.875,0.85,0.9,0.12202,0.0046551,-0.0046551,0.016846,-0.016846
0.925,0.9,0.95,0.14069,0.0059241,-0.0059241,0.018741,-0.018741
0.975,0.95,1.0,0.15121,0.0056979,-0.0056979,0.019229,-0.019229
1.05,1.0,1.1,0.16458,0.0047003,-0.0047003,0.019626,-0.019626
1.15,1.1,1.2,0.181,0.0055378,-0.0055378,0.019182,-0.019182
1.25,1.2,1.3,0.20556,0.0069113,-0.0069113,0.019097,-0.019097
1.35,1.3,1.4,0.23317,0.0089782,-0.0089782,0.020124,-0.020124
1.45,1.4,1.5,0.24344,0.010125,-0.010125,0.021367,-0.021367
1.55,1.5,1.6,0.2632,0.011695,-0.011695,0.024551,-0.024551
1.65,1.6,1.7,0.27543,0.013317,-0.013317,0.025983,-0.025983
1.75,1.7,1.8,0.25446,0.012487,-0.012487,0.024227,-0.024227
1.85,1.8,1.9,0.2922,0.015973,-0.015973,0.03036,-0.03036
1.95,1.9,2.0,0.32897,0.019656,-0.019656,0.039042,-0.039042
2.1,2.0,2.2,0.3352,0.015579,-0.015579,0.042668,-0.042668
2.3,2.2,2.4,0.34451,0.018792,-0.018792,0.044611,-0.044611
2.5,2.4,2.6,0.34769,0.021226,-0.021226,0.048374,-0.048374
2.7,2.6,2.8,0.3636,0.025784,-0.025784,0.052258,-0.052258
2.9,2.8,3.0,0.35905,0.027486,-0.027486,0.049991,-0.049991
3.1,3.0,3.2,0.3128,0.026192,-0.026192,0.038992,-0.038992
3.3,3.2,3.4,0.30028,0.030272,-0.030272,0.036294,-0.036294
3.5,3.4,3.6,0.32267,0.03657,-0.03657,0.044628,-0.044628
3.7,3.6,3.8,0.25592,0.031996,-0.031996,0.039003,-0.039003
3.9,3.8,4.0,0.38977,0.063357,-0.063357,0.072016,-0.072016
4.25,4.0,4.5,0.26729,0.033981,-0.033981,0.055008,-0.055008
4.75,4.5,5.0,0.21016,0.03963,-0.03963,0.051075,-0.051075

