#: table_doi: 10.17182/hepdata.110161.v1/t13
#: name: Table 13
#: description: $p_{T}$-distributions of pions ($\pi^{+}+\pi^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 30-40%.
#: data_file: table_13.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> PI+ X | XE XE --> PI- X
#: CENTRALITY [pct],,,30.0-40.0
#: RE,,,XE XE --> PI+ X, XE XE --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.065,0.05,0.08,309.15,1.5479,-1.5479,34.135,-34.135
0.09,0.08,0.1,378.59,0.90662,-0.90662,39.323,-39.323
0.13,0.1,0.16,428.67,0.34788,-0.34788,16.799,-16.799
0.18,0.16,0.2,452.72,0.39811,-0.39811,20.912,-20.912
0.225,0.2,0.25,440.93,0.41052,-0.41052,24.763,-24.763
0.275,0.25,0.3,408.42,0.38159,-0.38159,24.561,-24.561
0.32499999999999996,0.3,0.35,376.32,0.69023,-0.69023,21.028,-21.028
0.375,0.35,0.4,342.68,0.6593,-0.6593,18.235,-18.235
0.42500000000000004,0.4,0.45,309.77,0.6594,-0.6594,16.155,-16.155
0.475,0.45,0.5,274.4,0.77747,-0.77747,9.5821,-9.5821
0.525,0.5,0.55,243.05,0.74053,-0.74053,9.6665,-9.6665
0.575,0.55,0.6,214.8,0.7264,-0.7264,10.925,-10.925
0.625,0.6,0.65,193.43,0.83468,-0.83468,8.2808,-8.2808
0.675,0.65,0.7,173.21,0.8119,-0.8119,7.2696,-7.2696
0.725,0.7,0.75,153.98,0.821,-0.821,7.4979,-7.4979
0.775,0.75,0.8,137.26,0.82572,-0.82572,8.9309,-8.9309
0.825,0.8,0.85,123.12,0.85508,-0.85508,6.569,-6.569
0.875,0.85,0.9,109.34,0.85518,-0.85518,7.5039,-7.5039
0.925,0.9,0.95,98.119,0.87984,-0.87984,6.9732,-6.9732
0.975,0.95,1.0,86.338,0.46547,-0.46547,4.9299,-4.9299
1.05,1.0,1.1,71.867,0.29776,-0.29776,4.2461,-4.2461
1.15,1.1,1.2,57.235,0.26432,-0.26432,3.3881,-3.3881
1.25,1.2,1.3,45.864,0.23751,-0.23751,2.669,-2.669
1.35,1.3,1.4,35.951,0.203,-0.203,2.0718,-2.0718
1.45,1.4,1.5,28.828,0.18107,-0.18107,1.6544,-1.6544
1.55,1.5,1.6,23.258,0.16088,-0.16088,1.3816,-1.3816
1.65,1.6,1.7,18.32,0.13579,-0.13579,1.2336,-1.2336
1.75,1.7,1.8,15.018,0.12152,-0.12152,1.1838,-1.1838
1.85,1.8,1.9,11.954,0.10433,-0.10433,1.1104,-1.1104
1.95,1.9,2.0,9.8307,0.092835,-0.092835,1.0632,-1.0632
2.1,2.0,2.2,7.2182,0.053611,-0.053611,0.83946,-0.83946
2.3,2.2,2.4,4.8136,0.041186,-0.041186,0.54679,-0.54679
2.5,2.4,2.6,3.334,0.032891,-0.032891,0.35038,-0.35038
2.7,2.6,2.8,2.3639,0.026615,-0.026615,0.23697,-0.23697
2.9,2.8,3.0,1.6444,0.021562,-0.021562,0.16792,-0.16792
3.1,3.0,3.2,1.174,0.017485,-0.017485,0.12537,-0.12537
3.3,3.2,3.4,0.83293,0.014405,-0.014405,0.091303,-0.091303
3.5,3.4,3.6,0.62655,0.012421,-0.012421,0.0804,-0.0804
3.7,3.6,3.8,0.47749,0.010654,-0.010654,0.067892,-0.067892
3.9,3.8,4.0,0.36324,0.0095141,-0.0095141,0.06209,-0.06209
4.25,4.0,4.5,0.23218,0.0048934,-0.0048934,0.044887,-0.044887
4.75,4.5,5.0,0.12586,0.0038959,-0.0038959,0.027552,-0.027552

