#: table_doi: 10.17182/hepdata.110161.v1/t40
#: name: Table 40
#: description: $p_{T}$-distributions of protons ($p+pbar$)/pions ($\pi^{+}+\pi^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 20-30%.
#: data_file: table_40.yaml
#: keyword observables: RATIO
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> P X | XE XE --> PBAR X | XE XE --> PI+ X | XE XE --> PI- X
#: CENTRALITY [pct],,,20.0-30.0
#: RE(P + PBAR),,,XE XE --> P X, XE XE --> PBAR X
#: RE(PI+ + PI-),,,XE XE --> PI+ X, XE XE --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(p+pbar)/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -
0.32499999999999996,0.3,0.35,0.010091,0.00017214,-0.00017214,0.0023814,-0.0023814
0.375,0.35,0.4,0.01275,0.00018115,-0.00018115,0.0024731,-0.0024731
0.42500000000000004,0.4,0.45,0.018529,0.00023706,-0.00023706,0.0033159,-0.0033159
0.475,0.45,0.5,0.023734,0.00026502,-0.00026502,0.0041072,-0.0041072
0.525,0.5,0.55,0.029854,0.00030732,-0.00030732,0.0048835,-0.0048835
0.575,0.55,0.6,0.028286,0.00029215,-0.00029215,0.0032494,-0.0032494
0.625,0.6,0.65,0.032995,0.00029214,-0.00029214,0.0047322,-0.0047322
0.675,0.65,0.7,0.038557,0.00040803,-0.00040803,0.0063981,-0.0063981
0.725,0.7,0.75,0.045409,0.00050429,-0.00050429,0.0073416,-0.0073416
0.775,0.75,0.8,0.052493,0.00067786,-0.00067786,0.0077765,-0.0077765
0.825,0.8,0.85,0.059246,0.00077237,-0.00077237,0.0080113,-0.0080113
0.875,0.85,0.9,0.069257,0.00093789,-0.00093789,0.010232,-0.010232
0.925,0.9,0.95,0.076951,0.0010759,-0.0010759,0.010439,-0.010439
0.975,0.95,1.0,0.089233,0.0011904,-0.0011904,0.011405,-0.011405
1.05,1.0,1.1,0.10386,0.0010127,-0.0010127,0.012404,-0.012404
1.15,1.1,1.2,0.13229,0.0013706,-0.0013706,0.013998,-0.013998
1.25,1.2,1.3,0.15798,0.0017528,-0.0017528,0.014819,-0.014819
1.35,1.3,1.4,0.1959,0.0023463,-0.0023463,0.017009,-0.017009
1.45,1.4,1.5,0.22535,0.0028723,-0.0028723,0.019719,-0.019719
1.55,1.5,1.6,0.25944,0.0035508,-0.0035508,0.024182,-0.024182
1.65,1.6,1.7,0.29618,0.0043861,-0.0043861,0.027979,-0.027979
1.75,1.7,1.8,0.32239,0.0049241,-0.0049241,0.030785,-0.030785
1.85,1.8,1.9,0.36514,0.0060931,-0.0060931,0.037885,-0.037885
1.95,1.9,2.0,0.39833,0.0070124,-0.0070124,0.047266,-0.047266
2.1,2.0,2.2,0.44517,0.0060069,-0.0060069,0.056615,-0.056615
2.3,2.2,2.4,0.49334,0.007455,-0.007455,0.064078,-0.064078
2.5,2.4,2.6,0.51673,0.0088133,-0.0088133,0.071872,-0.071872
2.7,2.6,2.8,0.55364,0.010606,-0.010606,0.082772,-0.082772
2.9,2.8,3.0,0.58992,0.012782,-0.012782,0.082212,-0.082212
3.1,3.0,3.2,0.59405,0.015115,-0.015115,0.073923,-0.073923
3.3,3.2,3.4,0.59343,0.016464,-0.016464,0.071564,-0.071564
3.5,3.4,3.6,0.55995,0.017301,-0.017301,0.077419,-0.077419
3.7,3.6,3.8,0.56549,0.020439,-0.020439,0.086447,-0.086447
3.9,3.8,4.0,0.51084,0.02671,-0.02671,0.09426,-0.09426
4.25,4.0,4.5,0.46531,0.014971,-0.014971,0.095807,-0.095807
4.75,4.5,5.0,0.41136,0.018579,-0.018579,0.09985,-0.09985

