#: table_doi: 10.17182/hepdata.110161.v1/t17
#: name: Table 17
#: description: $p_{T}$-distributions of kaons ($K^{+}+K^{-}$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 40-50%.
#: data_file: table_17.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> K+ X | XE XE --> K- X
#: CENTRALITY [pct],,,40.0-50.0
#: RE,,,XE XE --> K+ X, XE XE --> K- X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.225,0.2,0.25,17.512,0.12253,-0.12253,1.1369,-1.1369
0.275,0.25,0.3,23.411,0.2484,-0.2484,1.4326,-1.4326
0.32499999999999996,0.3,0.35,22.747,0.11137,-0.11137,1.549,-1.549
0.375,0.35,0.4,23.937,0.11749,-0.11749,1.3426,-1.3426
0.42500000000000004,0.4,0.45,24.933,0.11178,-0.11178,1.3513,-1.3513
0.475,0.45,0.5,25.597,0.27481,-0.27481,2.7012,-2.7012
0.525,0.5,0.55,25.183,0.27493,-0.27493,2.63,-2.63
0.575,0.55,0.6,25.224,0.2783,-0.2783,2.4735,-2.4735
0.625,0.6,0.65,23.835,0.27486,-0.27486,2.2576,-2.2576
0.675,0.65,0.7,23.38,0.29083,-0.29083,2.0381,-2.0381
0.725,0.7,0.75,22.361,0.30991,-0.30991,1.7051,-1.7051
0.775,0.75,0.8,20.824,0.30399,-0.30399,1.4906,-1.4906
0.825,0.8,0.85,20.008,0.30119,-0.30119,1.563,-1.563
0.875,0.85,0.9,18.424,0.28369,-0.28369,1.5947,-1.5947
0.925,0.9,0.95,17.665,0.28335,-0.28335,1.5132,-1.5132
0.975,0.95,1.0,15.793,0.26532,-0.26532,1.4661,-1.4661
1.05,1.0,1.1,13.95,0.18246,-0.18246,1.174,-1.174
1.15,1.1,1.2,11.821,0.17475,-0.17475,0.79487,-0.79487
1.25,1.2,1.3,9.7092,0.15679,-0.15679,0.62346,-0.62346
1.35,1.3,1.4,8.2546,0.14912,-0.14912,0.61575,-0.61575
1.45,1.4,1.5,6.7995,0.13669,-0.13669,0.50174,-0.50174
1.55,1.5,1.6,5.7608,0.12281,-0.12281,0.33772,-0.33772
1.65,1.6,1.7,4.5942,0.10749,-0.10749,0.24708,-0.24708
1.75,1.7,1.8,3.9826,0.10875,-0.10875,0.29789,-0.29789
1.85,1.8,1.9,3.174,0.093363,-0.093363,0.22244,-0.22244
1.95,1.9,2.0,2.7751,0.10136,-0.10136,0.27934,-0.27934
2.1,2.0,2.2,2.0306,0.05308,-0.05308,0.15025,-0.15025
2.3,2.2,2.4,1.4256,0.048686,-0.048686,0.12916,-0.12916
2.5,2.4,2.6,0.90235,0.038608,-0.038608,0.073315,-0.073315
2.7,2.6,2.8,0.69321,0.038617,-0.038617,0.079035,-0.079035
2.9,2.8,3.0,0.53399,0.033852,-0.033852,0.10183,-0.10183
3.1,3.0,3.2,0.3432,0.022392,-0.022392,0.053622,-0.053622
3.3,3.2,3.4,0.23629,0.023628,-0.023628,0.033566,-0.033566
3.5,3.4,3.6,0.18789,0.019456,-0.019456,0.035055,-0.035055
3.7,3.6,3.8,0.12915,0.016321,-0.016321,0.018357,-0.018357
3.9,3.8,4.0,0.12458,0.017532,-0.017532,0.025887,-0.025887
4.25,4.0,4.5,0.066351,0.010609,-0.010609,0.0066351,-0.0066351
4.75,4.5,5.0,0.062582,0.012686,-0.012686,0.0062582,-0.0062582

