#: table_doi: 10.17182/hepdata.110161.v1/t15
#: name: Table 15
#: description: $p_{T}$-distributions of protons ($p+pbar$) measured in Xe-Xe collisions at $\sqrt{s_{NN}}$ = 5.44 TeV. Centrality class 30-40%.
#: data_file: table_15.yaml
#: keyword observables: DN/DPT
#: keyword cmenergies: 5440.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword reactions: XE XE --> P X | XE XE --> PBAR X
#: CENTRALITY [pct],,,30.0-40.0
#: RE,,,XE XE --> P X, XE XE --> PBAR X
#: SQRT(S)/NUCLEON [GeV],,,5440.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.32499999999999996,0.3,0.35,4.4157,0.088022,-0.088022,0.97043,-0.97043
0.375,0.35,0.4,4.9977,0.081775,-0.081775,0.85377,-0.85377
0.42500000000000004,0.4,0.45,6.4699,0.094303,-0.094303,0.94401,-0.94401
0.475,0.45,0.5,7.3591,0.092517,-0.092517,0.9401,-0.9401
0.525,0.5,0.55,8.2161,0.094792,-0.094792,0.88719,-0.88719
0.575,0.55,0.6,7.0249,0.081495,-0.081495,0.65318,-0.65318
0.625,0.6,0.65,7.2231,0.066713,-0.066713,1.0005,-1.0005
0.675,0.65,0.7,7.5562,0.088144,-0.088144,1.1879,-1.1879
0.725,0.7,0.75,8.0227,0.098435,-0.098435,1.206,-1.206
0.775,0.75,0.8,8.3481,0.11899,-0.11899,1.1551,-1.1551
0.825,0.8,0.85,8.2345,0.11701,-0.11701,0.97758,-0.97758
0.875,0.85,0.9,8.3975,0.12105,-0.12105,0.95453,-0.95453
0.925,0.9,0.95,8.4301,0.12375,-0.12375,0.94478,-0.94478
0.975,0.95,1.0,8.2448,0.12315,-0.12315,0.9398,-0.9398
1.05,1.0,1.1,8.3347,0.092928,-0.092928,0.86655,-0.86655
1.15,1.1,1.2,8.0669,0.094481,-0.094481,0.70628,-0.70628
1.25,1.2,1.3,7.8743,0.10023,-0.10023,0.57906,-0.57906
1.35,1.3,1.4,7.4085,0.10085,-0.10085,0.47895,-0.47895
1.45,1.4,1.5,6.487,0.092058,-0.092058,0.42998,-0.42998
1.55,1.5,1.6,6.1465,0.093848,-0.093848,0.44144,-0.44144
1.65,1.6,1.7,5.3307,0.086137,-0.086137,0.35392,-0.35392
1.75,1.7,1.8,4.7991,0.080829,-0.080829,0.25697,-0.25697
1.85,1.8,1.9,4.4329,0.08117,-0.08117,0.20623,-0.20623
1.95,1.9,2.0,3.7938,0.073089,-0.073089,0.18694,-0.18694
2.1,2.0,2.2,3.0192,0.044509,-0.044509,0.15584,-0.15584
2.3,2.2,2.4,2.2497,0.03773,-0.03773,0.14143,-0.14143
2.5,2.4,2.6,1.6747,0.03174,-0.03174,0.15127,-0.15127
2.7,2.6,2.8,1.1342,0.023364,-0.023364,0.12406,-0.12406
2.9,2.8,3.0,0.87154,0.020733,-0.020733,0.081677,-0.081677
3.1,3.0,3.2,0.64807,0.01786,-0.01786,0.04148,-0.04148
3.3,3.2,3.4,0.44574,0.013308,-0.013308,0.022455,-0.022455
3.5,3.4,3.6,0.31608,0.010927,-0.010927,0.016376,-0.016376
3.7,3.6,3.8,0.23239,0.008513,-0.008513,0.012961,-0.012961
3.9,3.8,4.0,0.16502,0.0070272,-0.0070272,0.01144,-0.01144
4.25,4.0,4.5,0.091664,0.0029487,-0.0029487,0.0065065,-0.0065065
4.75,4.5,5.0,0.04272,0.001978,-0.001978,0.0044934,-0.0044934

